Dialect,ID,English,Transliteration,Arabic,tags
Algerian,A-01-01,We have a malfunction.,‘andna pRoblem tekneek,عندنا بروبلام تيكنيك.,"military, air crew"
Algerian,A-01-02,We have a problem.,‘andna pRoblem,عندنا بروبلام .,"military, air crew"
Algerian,A-01-03,We have an in-flight emergency.,‘andna uRjans daaKhil aT-TiyaaRa,عندنا ارجنس داخل الطيارة.,"military, air crew"
Algerian,A-01-04,Go around.,dawaR,دور.,"military, air crew"
Algerian,A-01-05,Do not land!,mat-hbatsh!,ماتهبطش!,"military, air crew"
Algerian,A-01-06,Unsafe (Danger),KhaTaR,خطر.,"military, air crew"
Algerian,A-01-07,Stop taxi!,Habis aT-TiyaaRa!,حبس الطيارة!,"military, air crew"
Algerian,A-01-08,Cancel clearance.,al-eqlaa’ mamnoo’,الاقلاع ممنوع.,"military, air crew"
Algerian,A-01-09,Engine fire!,an-naaR fil-mootooR!,النار في الموتور!,"military, air crew"
Algerian,A-01-10,Aircraft fire!,an-naaR fee aT- TiyaaRa!,النار في الطيارة!,"military, air crew"
Algerian,A-01-11,Reserve airfield.,meesaaHat aT- TayaRaan ReezeRvey,مساحة الطيران محجوزة.,"military, air crew"
Algerian,A-01-12,Landing gear problem.,pRoblem fee jeehaaz ntaa’ lah-boT,بروبلام فجهاز تاع لهبوط.,"military, air crew"
Algerian,A-02-01,Contact ___.,konTaaktee ___,كونطاكتي___,"military, air crew"
Algerian,A-02-02,Frequency ___ Point ___.,al-mawqa’ ___ al- mooja ___,الموجة ___الموقع ___,"military, air crew"
Algerian,A-02-03,Switch to frequency ___.,RoH lil-mooja ___,روح للموجة ___,"military, air crew"
Algerian,A-02-04,Permit me to enter your control zone.,ismaHlee baash nudKhul lil-minTeeqa alee heeya taHt al- moRaaqaba dyaalkum,اسمحلي باش ندخل للمنطقة اللي هي تحت المراقبة ديالكم.,"military, air crew"
Algerian,A-02-05,Altitude,al-’uloo,العلو.,"military, air crew"
Algerian,A-02-06,Flight level,moostawa aT- TayaRaan,مستوى الطيران.,"military, air crew"
Algerian,A-02-07,Distance,al-masaafa,المسافة.,"military, air crew"
Algerian,A-02-08,A beam of ___.,shu’aa’ min ___,شعاع من ___,"military, air crew"
Algerian,A-02-09,I passed over ___.,jazt ‘ala ___,جزت على ___,"military, air crew"
Algerian,A-02-10,Bearing,fleteejaah,فالاتجاه.,"military, air crew"
Algerian,A-02-11,Traffic,TRaafeek,طرافيك.,"military, air crew"
Algerian,A-02-12,Unidentified aircraft,TiyaaRa maashee ma’Roofa al-haweeya ntaaHa,طيارة ماشي معروفة الهوية تاعها.,"military, air crew"
Algerian,A-02-13,Aircraft,TiyaaRa,طيارة.,"military, air crew"
Algerian,A-02-14,Helicopter,eleekopteR,هيليكوبتير.,"military, air crew"
