A-01-01,We have a malfunction.,‘andna pRoblem tekneek,عندنا بروبلام تيكنيك.,"military, air crew"
A-01-02,We have a problem.,‘andna pRoblem,عندنا بروبلام .,"military, air crew"
A-01-03,We have an in-flight emergency.,‘andna uRjans daaKhil aT-TiyaaRa,عندنا ارجنس داخل الطيارة.,"military, air crew"
A-01-04,Go around.,dawaR,دور.,"military, air crew"
A-01-05,Do not land!,mat-hbatsh!,ماتهبطش!,"military, air crew"
A-01-06,Unsafe (Danger),KhaTaR,خطر.,"military, air crew"
A-01-07,Stop taxi!,Habis aT-TiyaaRa!,حبس الطيارة!,"military, air crew"
A-01-08,Cancel clearance.,al-eqlaa’ mamnoo’,الاقلاع ممنوع.,"military, air crew"
A-01-09,Engine fire!,an-naaR fil-mootooR!,النار في الموتور!,"military, air crew"
A-01-10,Aircraft fire!,an-naaR fee aT- TiyaaRa!,النار في الطيارة!,"military, air crew"
A-01-11,Reserve airfield.,meesaaHat aT- TayaRaan ReezeRvey,مساحة الطيران محجوزة.,"military, air crew"
A-01-12,Landing gear problem.,pRoblem fee jeehaaz ntaa’ lah-boT,بروبلام فجهاز تاع لهبوط.,"military, air crew"
A-02-01,Contact ___.,konTaaktee ___,كونطاكتي___,"military, air crew"
A-02-02,Frequency ___ Point ___.,al-mawqa’ ___ al- mooja ___,الموجة ___الموقع ___,"military, air crew"
A-02-03,Switch to frequency ___.,RoH lil-mooja ___,روح للموجة ___,"military, air crew"
A-02-04,Permit me to enter your control zone.,ismaHlee baash nudKhul lil-minTeeqa alee heeya taHt al- moRaaqaba dyaalkum,اسمحلي باش ندخل للمنطقة اللي هي تحت المراقبة ديالكم.,"military, air crew"
A-02-05,Altitude,al-’uloo,العلو.,"military, air crew"
A-02-06,Flight level,moostawa aT- TayaRaan,مستوى الطيران.,"military, air crew"
A-02-07,Distance,al-masaafa,المسافة.,"military, air crew"
A-02-08,A beam of ___.,shu’aa’ min ___,شعاع من ___,"military, air crew"
A-02-09,I passed over ___.,jazt ‘ala ___,جزت على ___,"military, air crew"
A-02-10,Bearing,fleteejaah,فالاتجاه.,"military, air crew"
A-02-11,Traffic,TRaafeek,طرافيك.,"military, air crew"
A-02-12,Unidentified aircraft,TiyaaRa maashee ma’Roofa al-haweeya ntaaHa,طيارة ماشي معروفة الهوية تاعها.,"military, air crew"
A-02-13,Aircraft,TiyaaRa,طيارة.,"military, air crew"
A-02-14,Helicopter,eleekopteR,هيليكوبتير.,"military, air crew"
A-02-15,Climb to ___.,aTla’ lee ___,اطلع ل ___,"military, air crew"
A-02-16,Descend to ___.,ah-baT lee ___,اهبط ل ___,"military, air crew"
A-02-17,Estimated time of arrival (ETA),waqt al-woSool al- mutawaqa’,وقت الوصول المتوقع.,"military, air crew"
A-02-18,Flight plan,KhuTaT aT-TayaRaan,خطة الطيران,"military, air crew"
A-02-19,Fly heading ___.,TeeR fiteejaah ___,طير فاتجاه ___,"military, air crew"
A-02-20,We are bound for ___.,Raana maRbooTeen bil ___,رانا مربوطين بال ___,"military, air crew"
A-03-01,Please repeat slowly.,‘aawid bishweeya SaHa,عاود بشوية صح,"military, air crew"
A-03-02,Roger.,‘oolim,عُلم,"military, air crew"
A-03-03,Over.,Hawal,حول,"military, air crew"
A-03-04,I did not understand.,maa-fhamtaksh,ما فهمتش.,"military, air crew"
A-03-05,Your transmission was blocked.,al-mokaalma dyaalek tablookaat,المكالمة ديالك تبلوكات.,"military, air crew"
A-03-06,Heavy static,at-tKhaRKheesh bezaaf,التخرخيش بزاف,"military, air crew"
A-03-08,Say again.,‘aawid washRaak tqool,عاود واشراك تقول.,"military, air crew"
A-03-09,This is an American aircraft.,haadee TiyaaRa amReekeeya,هادي طيارة امريكية,"military, air crew"
A-03-10,"Spell it, please.",amlee a’leeya SaHa,ملي عليّ صح,"military, air crew"
A-03-11,Did you say ___?,qult ___?,قلت ___؟,"military, air crew"
A-03-12,I do not speak Algerian,maa-nahdaRsh bel- jazaayReeya,مانهدرش بالجزايرية.,"military, air crew"
A-03-13,Does anyone there speak English?,kaayin waaHid tamaa yah-daR al- engleezeeya?,كاين واحد تما يهدر الانجليزية؟,"military, air crew"
A-03-14,Am I talking with ___ control?,Raanee nah-daR ma’ ___ al-’amaleeyaat?,راني نهدر مع ___ العمليات؟,"military, air crew"
A-03-15,Is there a better frequency to communicate?,kaayin mooja KheeR man haadee nahadRoo feeha?,كاين موجة خير من هادي نهدرو فيها؟,"military, air crew"
A-03-16,I read you:,nisam’ek,نسمعك:,"military, air crew"
A-03-17,five-by,mumtaaz,ممتاز,"military, air crew"
A-03-18,four-by,laabaas,لاباس,"military, air crew"
A-03-19,three-by,shweeya,شوية,"military, air crew"
A-03-20,two-by,D’eef,ضعيف,"military, air crew"
A-03-21,I do not read you.,maa-nsam’aksh,مانسمعكش,"military, air crew"
A-04-01,Runway ___ in use.,laa peest ___ mashghoola,لابيست ___ مشغولة,"military, air crew"
A-04-02,Wind at ___.,kaayin aR-ReeH fi ___,كاين الريح ف ___,"military, air crew"
A-04-03,Altimeter,maqyaas al-eRteefaa’,مقياس الارتفاع,"military, air crew"
A-04-04,Number ___ to follow.,taba’ Raqm ___,تبع رقم ___,"military, air crew"
A-04-05,Report.,TaqReeR,تقرير,"military, air crew"
A-04-06,___ miles,___ maayl,___مايل,"military, air crew"
A-04-07,___ kilometers,___ keelometR,___كيلوميتر,"military, air crew"
A-04-08,Beacon,al-esh’aa’ al-laasilkee,الاشعاع اللاسلكي,"military, air crew"
A-04-09,Final (approach),al-iqteeRaab an- neehaa-ee,الاقتراب النهائي,"military, air crew"
A-04-10,Base,laa baaz,لاباز,"military, air crew"
A-04-11,Headwind,aR-ReeyaaH al- moo’aakisa,الرياح المعاكسة,"military, air crew"
A-04-12,Tailwind,aR-ReeyaaH al- Khalfeeya,الرياح الخلفية,"military, air crew"
A-04-13,Crosswind,aR-ReeyaaH al- mootaqaaTi’a,الرياح المتقاطعة,"military, air crew"
A-04-14,Downwind,fiteejaah aR-ReeH,في اتجاه الريح,"military, air crew"
A-04-15,Upwind,aR-ReeyaaH al- ’ulweeya,الرياح العلوية,"military, air crew"
A-04-16,Extended (fully),fee emteedaad kulee,في امتداد كلي,"military, air crew"
A-04-17,Enter landing pattern.,abda ‘amaleeyat al- hooboT,أبدا عملية الهبوط,"military, air crew"
A-04-18,Cleared to land.,hooboT aT-TiyaaRa aamin,هبوط الطيارة آمن,"military, air crew"
A-04-19,Landing gear down.,aj-heezat al-hooboT waajda,اجهزة الهبوط واجدة,"military, air crew"
A-04-20,Turn on runway lights.,esh’al aD-Do ntaa’ laa peest liT-TiyaaRaat,اشعل الضو تاع لابيست للطيارات,"military, air crew"
A-04-21,Is your navigation system working?,as-seestem taa’ naaveegaasyon ntaa’ek Raahoo yimshee,السيستام تاع النفيكاسيون تاعك راهو يمشي؟,"military, air crew"
A-04-22,I see the airfield.,Raanee nshoof al- maTaaR,راني نشوف المطار,"military, air crew"
A-04-23,I see the runway.,Raanee nshoof laa peest ntaa’ aT- TiyaaRaat,راني نشوف لابيست تاع الطيارات,"military, air crew"
A-04-24,I’ve landed.,ih-baT,اهبطت,"military, air crew"
A-04-25,"Is your Instrument Landing System (VOR, TACAN) working?",as-seestem ntaa’ aj-hizat al-hobooT yimshee?,السيستام تاع اجهزة الهبوط يمشي؟,"military, air crew"
A-05-01,Taxiway,mameR aT-TayaaRa,ممر الطيارة,"military, air crew"
A-05-02,Taxi,Taaksee,طاكسي,"military, air crew"
A-05-03,Turn right.,dawaR ‘ala al-yameen,دور عال الليمن,"military, air crew"
A-05-04,Turn left.,dawaR ‘ala al-yaSaaR,دور عال الليسر,"military, air crew"
A-05-05,To the hardstand.,adKhul lil-paaRking dyaal aT-TayaaRa,ادخل للباركينغ ديال الطيارة,"military, air crew"
A-05-06,Follow the “follow-me” truck.,tabe’ shaaHeenat eRshaad aT- TayaaRaat,اتبع شاحنة ارشاد الطيارات,"military, air crew"
A-05-08,Hold short of runway.,qaReb gudaam la peest waHbis,قرب قدام لابيست و احبس,"military, air crew"
A-05-09,"Is able, enter next taxiway.","eeDa kaan mumken, adKhul lil-mameR al- jaay",إذا كان ممكن، ادخل للممر الجاي,"military, air crew"
A-05-10,Taxi to parking.,Habis fel-paaRking,حبس فلبركينكك,"military, air crew"
A-05-11,Marshallers will assist.,al-muRshedeen Raahum RaayHeen ee’aawnook bil- iRshaadaat,المرشدين راهم رايحين يعانوك بالارشادات,"military, air crew"
A-05-12,Taxi into position and hold.,RoH la peest wa-stana oo madeemaaReesh Hata na’Took loRdR,روح لابيست وستنا وماديماريش حتى نعطيوك لوردر,"military, air crew"
A-05-13,There is an obstacle in our way.,kaayin waaHad al- Haajez fil-mameR,كاين واحد الحاجز في الممر,"military, air crew"
A-05-14,Can you move that ___?,taqdeR tnaHee deek ___?,تقدر تنحي ديك ___؟,"military, air crew"
A-05-15,car?,Tonobeel?,طونوبيل؟,"military, air crew"
A-05-16,truck?,kaamyoo?,كاميو؟,"military, air crew"
A-05-17,airplane?,TiyaaRa?,طيارة؟,"military, air crew"
A-05-18,powercart?,al-’aRaba al- elektRoneeya?,العربة الاليكترونية؟,"military, air crew"
A-05-19,We need minimum ___.,nSaHqoo ‘ala al-aqal ___,نسحقوا عال الاقل ___,"military, air crew"
A-05-20,50 feet taxiway,al-mamaR feeh Khamseen qadam,الممر فيه ٥٠ قدم,"military, air crew"
A-05-21,70 feet taxiway,al-mamaR feeh sab’een qadam,الممر فيه ٧٠ قدم,"military, air crew"
A-05-22,Our wingspan is ___ meters.,al-masaafa been al-janaaHeyn feT-T aTayaaRa dyaalna feeha ___ mitR,المسافة بين الجناحين فالطيارة ديالنا فيها ___متر,"military, air crew"
A-05-23,We need wingtip clearance.,laazimna meesaaHa kaafiya liT-Tool ntaa’ al-ajneeHa,لازمنا مساحة كافية للطول تاع الاجنحة.,"military, air crew"
A-06-01,Request takeoff.,maTloob ad-deykolaaj,مطلوب الديكولاج,"military, air crew"
A-06-02,Cleared for takeoff.,taqdeR deykolee,تقدر ديكولي,"military, air crew"
