A-01-01,We have a malfunction.,'andinaa 'uTel,عَنْدِنا عُطل,"military, air crew"
A-01-02,We have a problem.,'andinaa mushkila,عَنْدِنا مُشْكِلَة,"military, air crew"
A-01-03,We have an in-flight emergency.,'andinaa Haala Taar-a 'ala iT Tayaara,َعَنْدِنا حالة طارئَة على الطّياِرة,"military, air crew"
A-01-04,Go around.,i'mel lafa,اعمل لَفَة,"military, air crew"
A-01-05,Do not land.,maa tehbaTsh,ما تهبطش,"military, air crew"
A-01-06,Unsafe (Danger),mish amaan (KhaTar),مش أمان (خَطَر),"military, air crew"
A-01-07,Stop taxi!,wa-af duKhool iT Tayaara!,َوَقَفْ دخول الطّيارة!,"military, air crew"
A-01-08,Cancel clearance.,ilghee it taSreeH biT Tayaraan,الغي الّْتصريح بال َّطيَران,"military, air crew"
A-01-09,Engine fire!,Haree-a fee il muHarek!,حريقة في المحرك!,"military, air crew"
A-01-10,Aircraft fire!,Haree-a fee iT Tayaara!,حريقة في الطّياِرَة!,"military, air crew"
A-01-11,Reserve airfield,iHgez il mahbaT,احجز المهبط,"military, air crew"
A-01-12,Landing gear problem,fee mushkila fee gehaaz il hebooT,في مُشْكلة في جهاز الهبوط,"military, air crew"
A-02-01,Contact ___.,itaSil be ___,اَّتصِل بـ ___,"military, air crew"
A-02-02,Frequency ___ Point ___,it taradud ___ faaSil ___,التردد ___ فاصل ___,"military, air crew"
A-02-03,Switch to frequency ___.,Hawil 'ala it taradud ___,حَ ِّول على الَّترَُّدد ___,"military, air crew"
A-02-04,Permit me to enter your control zone.,i-izen leeya beeduKhool il manTe-a ilee taHet sayTartak,اِاذن ليه بدِخول المنطقة اللي تحت سيطرتكْ,"military, air crew"
A-02-05,Altitude,irtefaa',إرْتِفاع,"military, air crew"
A-02-06,Flight level,mustawa iT Tayaraan,مسْتوى الطيران,"military, air crew"
A-02-07,Distance,il masaafa,المسافَة,"military, air crew"
A-02-08,A beam of ___,shu'aa' min ___,شُعاع مِنْ ___,"military, air crew"
A-02-09,I passed over ___.,Tirt fo ___,طِرتُ فَوْق ___,"military, air crew"
A-02-10,Bearing,itegaah,إِّتجاه,"military, air crew"
A-02-11,Traffic,Haraket il muroor,حركَة المرور,"military, air crew"
A-02-12,Unidentified aircraft,Tayaara mag-hoola / mish ma'roofa meneen,طيارة مجهولة / مش مَعروفة منين,"military, air crew"
A-02-13,Aircraft,Tayaara,طياِرة,"military, air crew"
A-02-14,Helicopter,Tayaara heleecopter,طياِرة هليكوبتر,"military, air crew"
A-02-15,Climb to ___.,iTla' lee ___,اطلع لـ ___,"military, air crew"
A-02-16,Descend to ___.,inzil lee ___,انْزِل لـ ___,"military, air crew"
A-02-17,Estimated time of arrival (ETA),il wa-t il mu-adar lil wuSool,الوقت المُقََّدر لِلوصول,"military, air crew"
A-02-18,Flight plan,KheTet ir reHla,خطة الرحلة,"military, air crew"
A-02-19,Fly heading ___.,Teer fee itegaah ___,طير في إتجاه ___,"military, air crew"
A-02-20,We are bound for ___.,iHna metageheen lee ___,َإحنا متجهين لـ ___,"military, air crew"
A-03-01,Please repeat slowly.,"min faDlak, karar bebuT",مِنْ ف َّضلَك، كَرر بِبُطء,"military, air crew"
A-03-02,Roger,'ulem / tamaam,عُلِم / تَمام,"military, air crew"
