A-01-01,We have a malfunction.,‘idnaa ‘ajez,عدنا عجز
A-01-02,We have a problem.,‘idnaa mushkila,عدنا مشكلة
A-01-03,We have an in-flight emergency.,‘idnaa mushkila biT- Tayaara,عدنا مشكلة بالطيارة
A-01-04,Go around.,door Hawl,دور حول
A-01-05,Do not land.,laa tinzel,لا تنزل
A-01-06,Unsafe (Danger),moo amaan (KhaTar),مو أمان (خطر)
A-01-07,Stop taxi!,waguf taksee!,وگف تكسي!
A-01-08,Cancel clearance.,ilghee it-taSreeH,إلغي التصريح
A-01-09,Engine fire!,Hareeg bil makeena!,حريگ بالمكينة!
A-01-10,Aircraft fire!,Hareeg bil Tayaara!,حريگ بالطيارة!
A-01-11,Reserve airfield,maTaar eHtiyaaTee,مطار إحتياطي
A-01-12,Landing gear problem,mushkila bil hubooT,مشكلة بالهبوط
A-02-01,Contact ___.,iteSil ___,إتصل ___
A-02-02,Frequency ___ Point ___,ThabThaba ___ daraja ___,ذبذبة ___ درجة ___
A-02-03,Switch to frequency ___.,ghayir iTh-ThabThaba ___,غيّر الذبذبة ___
A-02-04,Permit me to enter your control zone.,ismaHlee adKhul manTagatkum,إسمحلي أدخل منطگتكم
A-02-05,Altitude,ertifaa’,إرتفاع
A-02-06,Flight level,mustawaa iT-Tayaraan,مستوى الطيران
A-02-07,Distance,masaafa,مسافة
A-02-08,A beam of ___,shu’aa’ maal ___,شعاع مال ___
A-02-09,I passed over ___.,Turit fog ___,طرت فوگ ___
A-02-10,Bearing,Haamila,حاملة
A-02-11,Traffic,Harakat muroor,حركة مرور
A-02-12,Unidentified aircraft,Tayaara moo ma’roofa,طيارة مو معروفة
A-02-13,Aircraft,Tayaara,طيارة
A-02-14,Helicopter,haleekaptar,هليكوبتر
A-02-15,Climb to ___.,uS’ad il ___,إصعد إلـ ___
A-02-16,Descend to ___.,inzil il ___,إنزل إلـ ___
A-02-17,Estimated time of arrival (ETA),waqet il wuSool taqreeban,وقت الوصول تقريباً
A-02-18,Flight plan,KhuTat Tayaraan,خطة طيران
A-02-19,Fly heading ___.,itijaah Tayaraan ___,إتجاه طيران ___
A-02-20,We are bound for ___.,iHnaa mitaj-heen ila ___,إحنا متجهين إلى ___
A-03-01,Please repeat slowly.,rajaa-an ‘eed ibuTu,رجاءً عيد إبطء
A-03-02,Roger,istilim,إستلم
A-03-03,Over,Hawil,حوّل
A-03-04,I did not understand.,anaa maa fehemit ‘aleyk,أنا ما فهمت عليك
A-03-05,Your transmission was blocked.,al-itiSaal weeyaak mafgood,الإتصال وياك مفگود
A-03-06,Heavy static,waayed washwasha,وايد وشوشة
A-03-07,The signal is weak.,al-ishaara Dha’eefa,الإشارة ضعيفة
A-03-08,Say again.,gool mara thaaniya,گول مرة ثانية
A-03-09,This is an American aircraft.,haThee Tayaara amreekeeya,هذي طيارة أمريكية
A-03-10,"Spell it, please.","it-hajaahaa, rajaa-an",إتهجاها، رجاءً
A-03-11,Did you say ___?,inta gilit ___?,إنت گلت ___؟
A-03-12,I do not speak Emirati Arabic.,anaa maa aHchee imaaraatee,أنا ما احچي إماراتي
A-03-13,Does anyone there speak English?,ako ay aHad yiHchee ingleezee?,أكو أي أحد يحچي إنگليزي؟
A-03-14,Am I talking with ___ control?,anaa aHchee weeya sayTarat ___?,أنا أحچي ويه سيطرة ___؟
A-03-15,Is there a better frequency to communicate?,ako ThabThaba aHsan lil iTiSaal?,أكو ذبذبة أحسن للإتصال؟
A-03-16,I read you:,anaa asma’ak:,أنا أسمعك:
A-03-17,five-by,Khamsa fee,خمسة في
A-03-18,four-by,arba’a fee,أربعة في
A-03-19,three-by,thalaatha fee,ثلاثة في
