A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
A-01-02,We have a problem.,‘indina mushkeeleh,عندنا مشكله.
A-01-03,We have an in-flight emergency.,‘indina Haalet TawaaRe v TaayRa,عندنا حالة طوارئ ف طايره.
A-01-04,Go around.,iz zignen,أزقٌنن.
A-01-05,Do not land!,laa tinzil!,لا تنزل!
A-01-06,Unsafe (Danger),maaho amin,ماهُ آمن
A-01-07,Stop taxi!,wagev TaayRa!,وقٌف طايره!
A-01-08,Cancel clearance.,ilghee leThin,ألغي لذن.
A-01-09,Engine fire!,naaR vil makeeneh!,نار ف المكينه!
A-01-10,Aircraft fire!,naaR vil TaayRa!,نار ف الطايره!
A-01-11,Reserve airfield.,maTaaR iHteeyaaTee,مطار أحتياطي.
A-01-12,Landing gear problem.,mushkeeleh vinzool,مشكله ف النزول.
A-02-01,Contact ___.,tilven i’le ___,تلفن أعل .___
A-02-02,Frequency ___ Point ___.,taRadod ___ nuqTa ___,تردد ___ نقطة .___
A-02-03,Switch to frequency ___.,Hawil shoR it taRadod ___,حول شور التردد .___
A-02-04,Permit me to enter your control zone.,a’Toonee leThin inKhish manTaqit taHakumkum,أعطوني لذن أنخش منطقة تحكمكم.
A-02-05,Altitude,iRteevaa’,إرتفاع
A-02-06,Flight level,mustawaa iRteevaa’ iT TaayRa,مستوى إرتفاع الطايره
A-02-07,Distance,masaaveh,مسافه
A-02-08,A beam of ___.,aThwaaw ___,أظواو .___
A-02-09,I passed over ___.,KheThit min vog ___,خظت من فوقٌ .___
A-02-10,Bearing,zhaRaaRa,جراره
A-02-11,Traffic,HaRakat iT TayaaRaat,حركة الطيارات
A-02-12,Unidentified aircraft,TayaaRa maahee ma’Roova,طيارة ماهي معروفه
A-02-13,Aircraft,TayaaRa,طياره
A-02-14,Helicopter,aleekaptayR,آليكوبتير
A-02-15,Climb to ___.,isha’baT im’a ___,أشعبط أمع .___
A-02-16,Descend to ___.,inzil shoR ___,أنزل شور .___
A-02-17,Estimated time of arrival (ETA),waqit il wuSool taqReeban,وقت الوصول تقريباً
A-02-18,Flight plan,baRnaamizh iR RiHla,برنامج الرحلة
A-02-19,Fly heading ___.,TeeR v it tizhaah ___,طير ف أتجاه .___
A-02-20,We are bound for ___.,niHna taab’een le ___,نحن تابعين ل .___
A-03-01,Please repeat slowly.,‘il Thaak bishoR min vaDhlak,عل ذاك بشور من فضلك.
A-03-02,Roger.,okey,أوكي.
A-03-03,Over.,oova,أوفَ.
A-03-04,I did not understand.,maa evhemt,ما افهمت.
A-03-05,Your transmission was blocked.,iS Sot ingTa’ ‘indak,الصوت أنقٌطع عندكْ.
A-03-06,Heavy static,itKhaR sheesha maan’a,أتخر شيشه مانعه
A-03-07,The signal is weak.,leshaaRa iDh’eeva,لِشارة أضعيفه.
A-03-08,Say again.,gool maRa aKhRaa,قول مرَه أخرى.
A-03-09,This is an American aircraft.,haaThee TaayRa ameReekeeya,هاذي طايره أمريكيه.
A-03-10,"Spell it, please.",shinhooma iHRova min vaDhlak,شنهومَ أحروفه من فضلك.
A-03-11,Did you say ___?,inta gilt ___?,أنت قٌلتْ ___؟
A-03-12,I do not speak Hassaniya.,anaa maa nitkalim il Hasaaneeya,أنا ما نتكلم الحسانيه.
A-03-13,Does anyone there speak English?,huk maavee Had yitkalim lingleezeeya?,هُك مافيه حد يتكلم لنكٌليزيه؟
A-03-14,Am I talking with ___ control?,anaa nitkalim im’a ___ it taHakum?,أنا نتكلم مع ___ التحكم؟
A-03-15,Is there a better frequency to communicate?,hon maavee Rezo ashbeh igid yekalim ‘aleeh?,هون مافيه ريزو اشبه إكٌدْ يُكلمْ أعليه؟
A-03-16,I read you:,anaa saam’ak:,أنا سامعك:
A-03-17,five-by,Khamsa v,خمسه ف
A-03-18,four-by,aRba’a v,أربعه ف
A-03-19,three-by,ithlaatha v,أثلاثه ف
A-03-20,two-by,ithnayn v,أثنين ف
A-03-21,I do not read you.,anaa maanee saam’ak,أنا ماني سامعك.
A-04-01,Runway ___ in use.,gidRonh iT TaayRa ___ ilee yushaghal,كٌدرونهْ الطايره ___ أليُشغلْ.
A-04-02,Wind at ___.,iR ReeyaaH v ___,الرياح ف .___
A-04-03,Altimeter,miqyaas liRteevaa’,مقياس الإرتفاع
A-04-04,Number ___ to follow.,Raqam ___ titlib,رقم ___ تتلبْ.
A-04-05,Report.,maHDhaR,محضر.
A-04-06,___ miles,___ meel,___ ميلْ
A-04-07,___ kilometers,___ keel,___ كيلْ
A-04-08,Beacon,Thaw amneeR,ظو آمنيرْ
A-04-09,Final (approach),neehaa-ee (naThaReeya),نِهائي (نظريه)
A-04-10,Base,qaa’eda,قاعده
A-04-11,Headwind,ReeyaaH il qidaam,رياح ألقٌدامْ
A-04-12,Tailwind,ReeyaaH il lowRa,رياح اللورَ
A-04-13,Crosswind,ReeyaaH lim’aaksa,رياح لمعاكسه
A-04-14,Downwind,it tizhaah iR ReeyaaH,أتجاه الرياح
A-04-15,Upwind,KhaabTa veeh iR ReeH,خابطه فيه الريح
A-04-16,Extended (fully),momadad (bikmaalo),مُمددْ (بكْمالُ)
A-04-17,Enter landing pattern.,maashee mashee inzool,ماشي مشي النزولْ.
A-04-18,Cleared to land.,ni’Taalhaa leThin binzool,نعطالها لذن بالنزولْ.
A-04-19,Landing gear down.,mashee iT TaayRa i’la itRaab,مشي الطايره أعل التراب.
A-04-20,Turn on runway lights.,igdo aThwaaw il manzil,أكٌدو اظواو المنزَلْ.
A-04-21,Is your navigation system working?,mindRa kaan zheehaaz it taHakom ‘indak yishtaghil?,مندرَ كان ْجهاز التحكم عندك يشتغلْ؟
A-04-22,I see the airfield.,inRaa’ee v il maTaaR,أنراعي ف المطارْ.
A-04-23,I see the runway.,inRaa’ee v il manzil,أنراعي ف المنزَلْ.
A-04-24,I’ve landed.,Raanee inzilt,راني أنزلت.
A-04-25,"Is your Instrument Landing System (VOR, TACAN) working?",mindRa kaan azh hezat it taHkom v inzool iT TaayRa yishtaghlo?,مندرَ كان أجهزة التحكم ف أنزول الطايره يشتغلو؟
A-05-01,Taxiway,gidRonh iT TaayRa,كٌدرونه الطايره
A-05-02,Taxi,imshee i’la itRaab,أمشي أعل التراب
A-05-03,Turn right.,veeRee im’a eydak il ‘aRbeeya,فيري أمع ايدك العربيه.
