A-01-01,We have a malfunction,'edna 'ajiz,عدنا عجز,"military, air crew"
A-01-02,We have a problem,'edna mushkila,عدنا مشكلة,"military, air crew"
A-01-03,We have an in-flight emergency,'edna mushkila bi T- Tayara,عدنا مشكلة بالطيارة,"military, air crew"
A-01-04,Go around,door Hawl,دور حول,"military, air crew"
A-01-05,Do not land,la tinzil,لا تنزل,"military, air crew"
A-01-06,Unsafe (Danger),moo aman (KhaTar),مو أمان )خطر(,"military, air crew"
A-01-07,Stop taxi!,mawqif taksee!,موقف تكسي !,"military, air crew"
A-01-08,Cancel clearance,ilghi it-taSreeH,إلغي التصريح,"military, air crew"
A-01-09,Engine fire!,Hareeq bil-makeena,حريق بالمكينة !,"military, air crew"
A-01-10,Aircraft fire!,Hareeq biT-Tayara!,حريق بالطيارة !,"military, air crew"
A-01-11,Reserve airfield,maTar iHtiyaTee,مطار احتياطي,"military, air crew"
A-01-12,Landing gear problem,mushkila b-alat in-nuzool,مشكلة بآلة النزول,"military, air crew"
A-02-01,Contact _____,itiSal _____,إتصال _____,"military, air crew"
A-02-02,Frequency ___ Point ___,ZabZaba___ daraja___,__ذبذبة__ درجة,"military, air crew"
A-02-03,Switch to frequency ___,Hawil iZ-ZabZaba ___,حوّل الذبذبة__,"military, air crew"
A-02-04,Permit me to enter your control zone,ismaH-lee adKhul manTaqatkum,إسمحلي أدخل منطقتكم,"military, air crew"
A-02-05,Altitude,urtifa',أرتفاع,"military, air crew"
A-02-06,Flight level,mustawa T-Tayaran,مستوى الطيران,"military, air crew"
A-02-07,Distance,masafa,مسافة,"military, air crew"
A-02-08,A beam of ____,shu'a' mal ____,شعاع مال___,"military, air crew"
A-02-09,I passed over __,Tirit fog ____,طرت فوگ___,"military, air crew"
A-02-10,Bearing,Hamila,حاملة,"military, air crew"
A-02-11,Traffic,muroor,مرور,"military, air crew"
A-02-12,Unidentified aircraft,Tayara ma ma'roofa,طيارة ما معروفة,"military, air crew"
A-02-13,Aircraft,Tayara,طيارة,"military, air crew"
A-02-14,Helicopter,heleekoptar,هليكوپتر,"military, air crew"
A-02-15,Climb to ____,uS'ad il ____,إصعد إلـ____,"military, air crew"
A-02-16,Descend to ____,inzil il ___,إنزل إلـ____,"military, air crew"
A-02-17,Estimated time of arrival (ETA),wakt il-wuSool taqreeban,وكت الوصول تقريباًَ,"military, air crew"
A-02-18,Flight plan,KhuTat iT-Tayaran,خطة الطيران,"military, air crew"
A-02-19,Fly heading ____,itijah iT-Tayaran ___,إتجاه الطيران ____,"military, air crew"
A-02-20,We are bound for...,eHna mitejheen il...,إحنا متجهين إلـ,"military, air crew"
A-03-01,Please repeat slowly,raja-an 'eedha yawash,رجاءً عيدها يواش,"military, air crew"
A-03-02,Roger,estilim,إستلم,"military, air crew"
A-03-03,Over,Hawil,حوّل,"military, air crew"
A-03-04,I did not understand,ma ftehemit,ما افتهمت,"military, air crew"
A-03-05,Your transmission was blocked,al-itiSal wiyak mafqood,الأتصال وياك مفقود,"military, air crew"
A-03-06,Heavy static,washwasha hwaye,وشوشة هواية,"military, air crew"
A-03-08,The signal is weak,il-ishara Dha'eefa,الإشارة ضعيفة,"military, air crew"
A-03-09,Say again,gool mara thanya,گول مرّة ثانية,"military, air crew"
A-03-10,This is an American aircraft,haZee Tiyara amreekiya,هذي طيارة أمريكية,"military, air crew"
A-03-11,"Spell it, please",it-hajaha raja-an,إتهجّاها رجاءً,"military, air crew"
A-03-12,Did you say ______?,inta gilit ____?,إنتَ گلت___؟,"military, air crew"
A-03-13,I do not speak Iraqi,anee ma aHchee 'iraqee,آني ما أحچي عراقي,"military, air crew"
A-03-14,Does anyone there speak English?,akoo ay waHid ihnak yaHchee ingleezee?,أكوأي واحد هناك يحچي انكليزي؟,"military, air crew"
A-03-15,Am I talking with ____ control?,anee da-aHchee wiya ____is-sayTara?,آني د أحچي ويّه ___ السيطرة؟,"military, air crew"
A-03-16,Is there a better frequency to communicate?,akoo ZabZaba aHsan lil- itiSal?,أكوذبذبةأحسن للأتصال؟,"military, air crew"
A-03-17,I read you: ...five-by ...four-by ...three-by ...two-by,anee asim'ak: ...Khamsa fee ...arba'a fee ...tlatha fee ...thnayn fee,:آني أسمعك خمسة - في أربعة- في تلاثة - في ثنين - في,"military, air crew"
A-03-18,I do not read you,ma asim'ak,ما أسمعك,"military, air crew"
A-04-01,Runway ____ in use,Tareeq iT-Tayarat ____ mashghool,طريق الطيارات___ مشغول,"military, air crew"
A-04-02,Wind at ____,ir-reeH bi_____,الريح بـ____,"military, air crew"
A-04-03,Altimeter,jihaz qiyas il-urtifa',جهاز قياس الأرتفاع,"military, air crew"
A-04-04,Number ____ to follow,ir-raqum ___ lit-ta'qub,الرقم ___ للتعقب,"military, air crew"
A-04-05,Report,taqreer,تقرير,"military, air crew"
A-04-06,____ miles,____amyal,___ أميال,"military, air crew"
A-04-07,____ kilometers,____keelumetra,___ كيلومترات,"military, air crew"
A-04-08,Beacon,manara,منارة,"military, air crew"
A-04-09,Final (approach),il-marHala il-aKheera,المرحلة الأخيرة,"military, air crew"
A-04-10,Base,qa'ida,قاعدة,"military, air crew"
A-04-11,Headwind,reeH 'aksiya,ريح عكسية,"military, air crew"
A-04-12,Tailwind,reeH Khalfiya,ريح خلفية,"military, air crew"
A-04-13,Crosswind,reeH janibiya,ريح جانبية,"military, air crew"
A-04-14,Downwind,bitijah ir-reeH,باتجاه الريح,"military, air crew"
A-04-15,Upwind,reeH 'alya,ريح عالية,"military, air crew"
A-04-16,Extended (fully),kulish Taweel,كلش طويل,"military, air crew"
A-04-17,Enter landing pattern,idKhul manTaqt in- nuzool,إدخل منطقة النزول,"military, air crew"
A-04-18,Cleared to land,iT-Tareeq maftooH lek,الطريق مفتوح لك,"military, air crew"
A-04-19,Landing gear down,il-geer lee-jowa,الگير ليجوه,"military, air crew"
A-04-20,Turn on runway lights,ish'il aDhwiyat il-madraj,إشعل أضوية المدرج,"military, air crew"
A-04-21,Is your navigation system working?,jihaz il-milaHa malkum yishtughul?,جهاز الملاحة مالكم يشتغل؟,"military, air crew"
A-04-23,I see the airfield,da-ashoof il-maTar,دأشوف المطار,"military, air crew"
A-04-24,I see the runway,da-ashoof il-madraj,دأشوف المدرج,"military, air crew"
A-04-25,I’ve landed,anee nizalit,آني نزلت,"military, air crew"
A-04-26,"Is your Instrument Landing System (VOR, TACAN) working?",il-geer malek da- yishtughil?,الگير مالك د يشتغل؟,"military, air crew"
A-05-01,Taxiway,madraj,مدرج,"military, air crew"
A-05-02,Taxi,yitHarek,يتحرك,"military, air crew"
A-05-03,Turn right,deewar yimna,ديور يمنه,"military, air crew"
A-05-04,Turn left,deewar yisra,ديور يسره,"military, air crew"
A-05-05,To the hardstand,makan wuqoof iT-Tayara,مكان وقوف الطيارة,"military, air crew"
A-05-06,Follow the “follow-me” truck,ilHag il-lory “ilHagnee”,"إلحگ اللوري ""إلحگني""","military, air crew"
A-05-08,Take runway ____,'aqib il-madraj ____,عقب المدرج ____,"military, air crew"
A-05-09,Hold short of runway,la titqarab kulish lil- madraj,لا تتقرب كلّش للمدرج,"military, air crew"
A-05-10,"Is able, enter next taxiway",yigdar yidKhul il-madraj il-laKh,يگدر يدخل المدرج إللاّخ,"military, air crew"
A-05-11,Taxi to parking,itHarek Hata togaf,إتحرك حتى توگف,"military, air crew"
A-05-12,Marshallers will assist,Marshallers will assist,المؤشرين راح يساعدوك,"military, air crew"
A-05-14,Taxi into position and hold,itHarek il maHalak u- ogaf,إتحرك إلـ محلك و أوگف,"military, air crew"
A-05-15,There is an obstacle in our way,akoo 'aqaba b-Tareeqna,أكو عقبة بطريقنا,"military, air crew"
A-05-16,Can you move that?,tigdar tiHarik Zak,تگدر تحرّك ذاك؟,"military, air crew"
A-05-17,car?,sayara?,سيارة؟,"military, air crew"
A-05-18,truck?,loree?,لوري؟,"military, air crew"
A-05-19,airplane?,Tayara?,طيارة؟,"military, air crew"
A-05-20,powercart?,'ajalat il-Humoola ?,عجلة الحمولة؟,"military, air crew"
A-05-21,We need minimum ___,aqal shee niHtaj ___,أقل شي نحتاج ___,"military, air crew"
A-05-22,50 feet taxiway,Khamseen qadam 'an madraj iT-Tayarat,٥٠ قدم عن مدرج الطيارات,"military, air crew"
A-05-23,70 feet taxiway,sab'een qadam 'an madraj iT-ayyarat,٧٠ قدم عنمدرج الطيارات,"military, air crew"
A-05-24,Our wingspan is ____ meters,Tool jinaHna huwa ___ miter,طول جناحنا هو ___ متر,"military, air crew"
A-05-25,We need wingtip clearance,niHtaj masafat aman lij- jinaH,نحتاج مسافة أمان للجناح,"military, air crew"
A-06-01,Request takeoff,Talab muwafaqa liT- Tayaran,طلب موافقة للطيران,"military, air crew"
A-06-02,Cleared for takeoff,muwafaqa liT-Tayaran,موافقة للطيران,"military, air crew"
A-06-03,After departure,ba'id iT-Tayaran,بعد الطيران,"military, air crew"
A-06-04,Heading,bitijah,باتجاه,"military, air crew"
A-06-05,Flock of birds,sirib Tuyoor,سرب طيور,"military, air crew"
A-06-06,Climb and maintain,uS'ad wubqa 'ala nafs il-mustawa,أصعد وإبقى على نفس المستوى,"military, air crew"
A-07-01,What is the maximum weight the parking ramp can withstand?,shgad akthar wazin yitHamal mawqef iT- Tayaran?,شگد أكثر وزن يتحمل موقف الطيارات؟,"military, air crew"
A-07-02,What is the total length of the runway?,shgad Tool il-madraj kula?,شگد طول المدرج كله؟,"military, air crew"
A-07-03,What is the width of the runway?,shgad 'uruDh il-madraj?,شگد عرض المدرج؟,"military, air crew"
A-07-05,What is the maximum weight the runway can stand?,shgad akthar wazin yitHamal il-madraj?,شگد أكثر وزن يتحمل المدرج؟,"military, air crew"
A-07-06,What are the operational hours of your tower?,cham sa'a yishtughul il-burij?,چم ساعة يشتغل البرج؟,"military, air crew"
A-07-07,What fees are we liable for?,shinoo mas-ooliyatna bil-gharamat?,شنو مسؤولياتنا بالغرامات؟,"military, air crew"
A-07-08,How much do we owe?,shgad maTloobeen?,شگد مطلوبين؟,"military, air crew"
A-07-10,Dollars,doolarat,دولارات,"military, air crew"
A-07-11,Iraqi Dinar,deenar,دينار,"military, air crew"
A-07-12,I am...,anee,آني,"military, air crew"
A-07-13,the aircraft commander,qa-id iT-Tayara,قائد الطيارة,"military, air crew"
A-07-14,the flight engineer,muhandis iT-Tayara,مهندس الطيارة,"military, air crew"
A-07-15,the navigator,il-malaH,الملاح,"military, air crew"
A-07-16,the copilot,musa'id iT-Tayar,مساعد الطيار,"military, air crew"
A-07-17,the crew chief,ra-ees iT-Ta-ifa,رئيس الطائفة,"military, air crew"
A-07-18,the flight surgeon,Tabeeb iT-Tayara,طبيب الطيارة,"military, air crew"
A-07-19,the loadmaster,il-mas-ool 'an il- Humoola,المسؤول عن الحمولة,"military, air crew"
A-08-01,We need a forklift,niHtaj rafi'a,نحتاج رافعة,"military, air crew"
A-08-02,Where do we unload?,wayn infarigh il- Humoola?,وين إنفرّغ الحمولة؟,"military, air crew"
A-08-03,Pallet,minaSa,منصة,"military, air crew"
A-08-04,Cargo,Humoola,حمولة,"military, air crew"
A-08-05,We need a pallet loader,niHtaj Hamal mal minaSa,نحتاج حمّال منصة,"military, air crew"
A-08-06,We need workers to assist with unloading,eHnaniHtaj'umal yisa'idoona bit-tafreegh,أحنا نحتاج عمال يساعدونا بالتفرّيغ,"military, air crew"
A-08-07,We need cargo handlers,niHtaj Hamaleen,نحتاج حمّالين,"military, air crew"
A-08-08,Is there a staging area for cargo?,akoo manTaqa muKhaSaSa lil- Humoola?,أكو منطقة مخصصة للحمولة؟,"military, air crew"
A-09-01,Do you have ____?,'endak ___?,عندك ____؟,"military, air crew"
A-09-02,Oil,nafuT,نفط,"military, air crew"
A-09-03,Hydraulic fluid,sa-il hidroleekee,سائل هيدروليكي,"military, air crew"
A-09-04,Hydraulic system,jihaz hidroleekee,جهاز هيدروليكي,"military, air crew"
A-09-05,We need local airline maintenance support,niHtaj ila idama liT- Tayaran id-daKhilee,نحتاج إلى إدامة للطيران الداخلي,"military, air crew"
A-09-06,Our power requirements are _____,mutaTalabat il-quwa il- kahraba-iya malna hiya _____,متطلبات القوة الكهربائية _____ مالنا هي,"military, air crew"
A-09-07,400 cycle,arba'meet dawra,٤٠٠ دورة,"military, air crew"
A-09-08,3-phase,tleth maraHil,٣ مراحل,"military, air crew"
A-09-09,Alternating current,teyar mutanawib,تيّار متناوب,"military, air crew"
A-09-10,115 volt,miya u-KhumusTa'ish voolT,١١٥ فولط,"military, air crew"
A-10-01,Is fuel available?,akoo banzeen?,أكو بنزين؟,"military, air crew"
A-10-02,We need ____ kilos,niHtaj ____ keelo,نحتاج ____ كيلو,"military, air crew"
A-10-03,How much do we owe you?,shgad tuTlubna?,شگد تطلبنا؟,"military, air crew"
A-10-04,Do you have fuel pits?,'edkum Hufar lil-banzeen?,عدكم حفر للبنزين؟,"military, air crew"
A-10-05,Are firefighters available during refueling?,akoo rijal iTfa mawjudeen waket it-tafweel?,أكو رجال إطفاء موجودين وكت التفويل؟,"military, air crew"
A-10-06,How much fuel do your trucks hold?,shgad banzeen tigdar tiHmil loriyatkum?,شگد بنزين تگدر تحمل لورياتكم؟,"military, air crew"
A-10-07,We need refueling,niHtaj infawil banzeen,نحتاج إنفوّل بنزين,"military, air crew"
A-10-09,Where will we be refueling?,wayn raH infawil banzeen?,وين رح إنفوّل بنزين؟,"military, air crew"
A-10-10,What is the fuel composition/mixture?,shinoo KhalTat il-banzeen?,شنو خلطة البنزين؟,"military, air crew"
A-10-10,When can we be refueled?,shwakit nigdar infawil banzeen?,شوكت نگدر إنفوّل بنزين؟,"military, air crew"
A-10-11,What is the cost?,shgad it-takaleef?,شگد التكاليف؟,"military, air crew"
A-11-01,Weather below minimums,darajat Hararat il-jaw aqal min il-mustawa il-i'tiyadee,درجة حرارة الجو أقل من المستوى الأعتيادي,"military, air crew"
A-11-02,Lower edge at ____,il-Hafa n-naSya bi____,الحافة الناصية بـ____,"military, air crew"
