A-01-01,We have a malfunction.,fee ‘inaa ‘uTul,في عنا عطل.,"military, air crew"
A-01-02,We have a problem.,fee ‘inaa mushkeleh,في عنا مشكلة .,"military, air crew"
A-01-03,We have an in-flight emergency.,‘inaa Haalit TawaaRi ‘aa TayaaRa,عنا حالة طوارئ عالطيارة.,"military, air crew"
A-01-04,Go around.,dooR,دور.,"military, air crew"
A-01-05,Do not land!,maa tuhbuT!,ما تهبط!,"military, air crew"
A-01-06,Unsafe (Danger),mush aamaan (KhaTaR),مش آمان (خطر),"military, air crew"
A-01-07,Stop taxi!,wagif iT TayaaRa!,وقّف الطيارة!,"military, air crew"
A-01-08,Cancel clearance.,ilghee it taSReeH,إلغي التصريح .,"military, air crew"
A-01-09,Engine fire!,HaReeg bil muHaRik!,حريق بالمحرك!,"military, air crew"
A-01-10,Aircraft fire!,HaReeg bil TayaaRa!,حريق بالطيارة!,"military, air crew"
A-01-11,Reserve airfield.,maTaaR iHteeyaaTee,مطار إحتياطي.,"military, air crew"
A-01-12,Landing gear problem.,mushkeleh be jehaaz il hubooT,مشكلة بجهاز الهبوط.,"military, air crew"
A-02-01,Contact ___.,itaSil be ___,إتصل بـ .___,"military, air crew"
A-02-02,Frequency ___ Point ___.,ThabThabeh ___ nugTa ___,ذبذبة ___ نقطة .___,"military, air crew"
A-02-03,Switch to frequency ___.,ghayiR laTh ThabThabeh ___,غيّر لذبذبة .___,"military, air crew"
A-02-04,Permit me to enter your control zone.,Khaleenee afoot ‘amanTigitkum,خليّني أفوت عمنطقتكم.,"military, air crew"
A-02-05,Altitude,iRtefaa’,إرتفاع,"military, air crew"
A-02-06,Flight level,mustawaa iT TayaaRan,مستوى الطيران,"military, air crew"
A-02-07,Distance,masaafeh,مسافة,"military, air crew"
A-02-08,A beam of ___.,Daaw min ___,ضو من .___,"military, air crew"
A-02-09,I passed over ___.,TuRt fog ___,طرت فوق .___,"military, air crew"
A-02-10,Bearing,itejaah,إتجاه,"military, air crew"
A-02-11,Traffic,HaRket il muRooR iT TayaRaan,حركة المرور الطيران,"military, air crew"
A-02-12,Unidentified aircraft,TayaaRa maj-hooleh,طيارة مجهولة,"military, air crew"
A-02-13,Aircraft,TayaaRa,طيّارة,"military, air crew"
A-02-14,Helicopter,TayaaRa holeekopteR,طيّارة هليكوبتر,"military, air crew"
A-02-15,Climb to ___.,iTla’ li ___,إطلع لـ .___,"military, air crew"
A-02-16,Descend to ___.,inzel li ___,إنزل لـ .___,"military, air crew"
A-02-17,Estimated time of arrival (ETA),il waqit il mutawaqa’ lil wuSool,الوقت المتوقع للوصول,"military, air crew"
A-02-18,Flight plan,KhiTat il RiHleh,خطة الرحلة,"military, air crew"
A-02-19,Fly heading ___.,TeeR be itejaah ___,طير بإتجاه .___,"military, air crew"
A-02-20,We are bound for ___.,iHnaa mitaj-heen la ___,إحنا متجهين لـ .___,"military, air crew"
A-03-01,Please repeat slowly.,min faDlak ‘eed ‘ala mahlak,من فضلك عيد على مهلك.,"military, air crew"
A-03-02,Roger.,mafhoom,مفهوم.,"military, air crew"
A-03-03,Over.,Hawil,حوّل.,"military, air crew"
A-03-04,I did not understand.,maa fihimt,ما فهمت.,"military, air crew"
A-03-05,Your transmission was blocked.,iteSaalak in-aTa’,إتصالك إنقطع.,"military, air crew"
A-03-06,Heavy static,fee tashweesh awee,في تشويش قوي,"military, air crew"
A-03-07,The signal is weak.,il ishaaRa Da’eefeh,الإشارة ضعيفة.,"military, air crew"
A-03-08,Say again.,ool maRa taanyeh,قول مرة ثانية.,"military, air crew"
