A-01-01,We have a malfunction.,‘inaa ‘uTul,عنا عُطل.,"military, air crew"
A-01-02,We have a problem.,‘inaa mishkeleh,عنا مشكلة.,"military, air crew"
A-01-03,We have an in-flight emergency.,‘inaa Haalet TawaaRe ‘aTeeyaaRa,عنا حالة طوارئ عالطياّرة.,"military, air crew"
A-01-04,Go around.,lef,لف.,"military, air crew"
A-01-05,Do not land!,maa tuhbuT!,ما تهُبط!,"military, air crew"
A-01-06,Unsafe (Danger),KhaTaR,خطر,"military, air crew"
A-01-07,Stop taxi!,wa-if iTeeyaaRa!,وقّف الطياّرة!,"military, air crew"
A-01-08,Cancel clearance.,ilghee at taSReeH biT TayaRaan,إلغي التصريح بالطيران.,"military, air crew"
A-01-09,Engine fire!,HaRee bil muHaRek!,حريق بالمحرك!,"military, air crew"
A-01-10,Aircraft fire!,HaRee biT TeeyaaRa!,حريق بالطيارة!,"military, air crew"
A-01-11,Reserve airfield.,maTaaR iHteeyaaTee,مطار إحتياطي.,"military, air crew"
A-01-12,Landing gear problem.,mushkeleh bezhehaaz il hubooT,مشكُلة بجهاز الهبوط.,"military, air crew"
A-02-01,Contact ___.,itiSel be ___,إتصل بـ .___,"military, air crew"
A-02-02,Frequency ___ Point ___.,mawzhe ___ nu-Ta ___,موجة ___ نقطة .___,"military, air crew"
A-02-03,Switch to frequency ___.,ghayiR ‘ala il mawzhe ___,غيرّ على الموجة .___,"military, air crew"
A-02-04,Permit me to enter your control zone.,Khaleenee foot ‘amanTa-utkon,خليّني فوت عمنطقتكُن.,"military, air crew"
A-02-05,Altitude,iRtefaa’,إرتفاع,"military, air crew"
A-02-06,Flight level,mustawaa iRtefaa’ iT TeeyaaRa,مستوى إرتفاع الطيارة,"military, air crew"
A-02-07,Distance,masaafeh,مسافة,"military, air crew"
A-02-08,A beam of ___.,Daaw min ___,ضو من .___,"military, air crew"
A-02-09,I passed over ___.,TuRt faaw ___,طرت فوق .___,"military, air crew"
