A-01-01,We have a malfunction.,‘indnaa ‘aTel,عندنا عطل,"military, air crew"
A-01-02,We have a problem.,‘indnaa mushkeelaa,عندنا مشكلة,"military, air crew"
A-01-03,We have an in-flight emergency.,‘ndnaa Haala Taariyaa fee ir-riHlaa,عندنا حالة طارئة في الرحلة,"military, air crew"
A-01-04,Go around.,door mara taaniya,دور مرّة ثانية,"military, air crew"
A-01-05,Do not land!,maa-tah-buTsh!,ما تهبطش!,"military, air crew"
A-01-06,Unsafe (Danger),mish aamin (KhaTar),مش آمن (خطر(,"military, air crew"
A-01-07,Stop taxi!,oogif il-Haraka!,وقف الحركة!,"military, air crew"
A-01-08,Cancel clearance.,ilghee it-taSreeH,إلغي التصريح,"military, air crew"
A-01-09,Engine fire!,Hareeg fee il-muHarik!,حريق في المحرك!,"military, air crew"
A-01-10,Aircraft fire!,Hareeg fee iT-Tayaara!,حريق في الطيارة!,"military, air crew"
A-01-11,Reserve airfield,iHjiz ilmah-baT,أحجز المهبط,"military, air crew"
A-01-12,Landing gear problem,mushkeelaa fee tars-il- hubooT,مشكلة في ترس الهبوط,"military, air crew"
A-02-01,Contact ___.,itaSil bee ___,أتصل بـ___,"military, air crew"
A-02-02,Frequency ___ Point ___,taradud ___ nuqTa ___,تردد ___ نقطة___,"military, air crew"
A-02-03,Switch to frequency ___.,ghayir lit-taradud ___,غيّر للتردد___,"military, air crew"
A-02-04,Permit me to enter your control zone.,ismaH lee bee-duKhool manTaqit tawjeehkum,أسمح لي بدخول منطقة توجيهكم,"military, air crew"
A-02-05,Altitude,irtifaa’,إرتفاع,"military, air crew"
A-02-06,Flight level,mustawaa iT-Tayaraan,مستوى الطيران,"military, air crew"
A-02-07,Distance,masaafa,مسافة,"military, air crew"
A-02-08,A beam of ___,eesharaa lee ___,إشارة ل___,"military, air crew"
A-02-09,I passed over ___.,aaney tjaawizit ___,أنىء تجاوزت___,"military, air crew"
A-02-10,Bearing,iteejaah,إتجاه,"military, air crew"
A-02-11,Traffic,Harakat iT-Tayaraan,حركة الطيران,"military, air crew"
A-02-12,Unidentified aircraft,Tiyaara mish ma’roofa,طيارة مش معروفة,"military, air crew"
A-02-13,Aircraft,Tiyaara,طيارة,"military, air crew"
A-02-14,Helicopter,helikoptar,هاليكوبتر,"military, air crew"
A-02-15,Climb to ___.,iS’ad lee ___,أصعد ل___,"military, air crew"
A-02-16,Descend to ___.,ih-baT lee ___,أهبط ل___,"military, air crew"
