B-01-01,Stop!,Hbes!,حبس!,military
B-01-02,Stop or I will shoot.,wgef wla nteeRi feek,وقف ولا نتيري فيك,military
B-01-03,Follow our orders.,tbe' l-awaamiR dyaalna,تبع ألاوامر ديالنا,military
B-01-04,Don't shoot.,maateeReesh,ما تيريش,military
B-01-05,Put your weapon down.,HaT slaaH dyaalek 'al l-aRD,حط السلاح ديالك عال الارض,military
B-01-06,Move.,tHaRek,تحرّك,military
B-01-07,Come here.,aaji lehnaa,آجي لهنا,military
B-01-08,Follow me.,tbe'ni,تبعني,military
B-01-09,Stay here.,bqaa hnaa,بقى هنا,military
B-01-10,Wait here.,tsena hnaa,تسنا هنا,military
B-01-11,Do not move.,maatHaReksh,ما تحركش,military
B-01-12,Stay where you are.,bqaa feblaaStek,بقى فبلاستك,military
B-01-13,Come with me.,aaji lehnaa,آجي لهنا,military
B-01-14,Take me to ___.,deenee l ___,ديني لـ ___,military
B-01-15,Be quiet.,skut,سكت,military
B-01-16,Slow down.,beshweeya,بشوية,military
B-01-17,Move slowly.,tHaRek beshweeya,تحرك بشوية,military
B-01-18,Hands up.,hez yedeek lfoog,هز يديك الفوق,military
B-01-19,Lower your hands.,habeT yedeek,هبط يديك,military
B-01-20,Lie down.,tekaa 'al l-aRD,تكى عال الارض,military
B-01-21,Lie on your stomach.,tekaa 'la keRshek,تكى على كرشك,military
B-01-22,Get up.,noD,نوض,military
B-01-23,Surrender.,stislem,استسلم,military
B-01-24,You are a prisoner.,nta saajeen,انت سجين,military
B-01-25,We must search you.,KheSna nqalbook,خصنا نقلبوك,military
B-01-26,Turn around.,doR,دور,military
B-01-27,Walk forward.,zeed lgudaam,زيد للقدام,military
B-01-28,Form a line.,deeRu Saf,ديرو الصف,military
B-01-29,One at a time.,waaHed bwaaHed,واحد بواحد,military
B-01-30,You are next.,noobtek jaaya,نوبتك جايّ,military
B-01-31,No talking.,maatkelemsh,ما تكلمش,military
B-01-32,Do not resist.,maatqaawemsh,ماتقاومش,military
B-01-33,Calm down.,tkaalma,تكالما,military
B-01-34,Give me.,'Teynee,عطيني,military
B-01-35,Do not touch.,maatqeysh,ما تقيش,military
B-01-36,Do not remove.,maatHayedsh,ما تحيّدش,military
B-01-37,Keep away.,bqaa mba'ed,بقى مبعّد,military
B-01-38,Let us pass.,Khaleena ndoozo,خلينا ندوزو,military
B-01-39,Don't be frightened.,maatKhaafsh,ما تخافش,military
B-01-40,You can leave.,yemken lek temshi fHaalek,يمكن لك تمشي فحالك,military
B-01-41,Go.,seeR,سير,military
B-01-42,Go home.,seeR ldaaRek,سير لدارك,military
B-01-43,Open.,Hul,حلّ,military
B-01-44,Close.,sid,سدّ,military
B-01-45,Beware.,'endaak,عنداك,military
B-01-46,Bring me.,jeebnee,جيبني,military
B-01-47,Distribute.,tfaRqo,تفرقو,military
B-01-48,Fill,'ameR,عمّر,military
B-01-49,Lift,hiz,هزّ,military
B-01-50,Pour into,kub f,كبّ ف,military
B-01-51,Put,HaT,حطّ,military
B-01-52,Take,Khood,خود,military
B-01-53,Load,'ameR,عمّر,military
B-01-54,Unload,Khwee,خوي,military
B-01-55,Help me.,'aawenee,عاونّي,military
B-01-56,Show me.,weReenee,ِّوريني,military
B-01-57,Tell me.,gool lee,قول لي,military
B-02-01,Please.,'aafaak,عافاك,basics
B-02-02,Thank you.,shukRan,شكراً,basics
B-02-03,Can someone assist us?,waash yemken lshee waaHed y'aawena?,واش يمكن لشي واحد يعاونا؟,basics
B-02-04,OK.,waaKha,وا َّخة,basics
B-02-05,Excuse me. / I'm sorry.,smeH lee,سمح لي,basics
B-02-06,Yes.,aah,آه,basics
B-02-07,No.,laa,لّا,basics
B-02-08,Maybe.,mumkin,ممكن,basics
B-02-09,Right.,beSaH,ب َّصح,basics
B-02-10,Wrong.,ghaaleT,غالط,basics
B-02-11,Here.,hnaa,هنا,basics
B-02-12,There.,timaa,تمّا,basics
B-02-13,I want.,bgheet,بغيت,basics
B-02-14,I do not want.,maa bgheetsh,ما بغيتش,basics
B-02-15,Danger.,KhaaTaaR,خطار,basics
B-02-16,We are here to help you.,jeena baash n'aawnook,جينا باش نعاونوك,basics
B-02-17,Help is on the way.,Raa hum jaayeen baash y'aawnoona,را هم جايين باش يعاونونا,basics
B-02-18,We are Americans.,Hnaa meeReekaaniyen,حنا ميريكانيّن,basics
B-02-19,You will not be harmed.,Heta Haaja ma ghaatooqe' leyk,حتّى حاجة ما غتوقع لِك,basics
B-02-20,You are safe.,nta fel-aamaan,انت فالامان,basics
B-02-21,"OK, no problem.","waaKha, maakaayin mooshkeel","وا َّخة, ماكاين مشكل",basics
B-02-22,Who?,shkoon?,شكون؟,basics
B-02-23,What?,shno?,شنو؟,basics
B-02-24,When?,weqtaash?,وقتاش؟,basics
B-02-25,Where?,feen?,فين؟,basics
B-02-26,Why?,'laash?,علاش؟,basics
B-02-27,How?,keefaash?,كيفاش؟,basics
B-02-28,What happened?,shnoo wqe'?,شنو وقع؟,basics
B-02-29,Do you have ___?,waash 'andek ___?,واش عندك ___؟,basics
B-02-30,Do you need help?,waash bgheeti n'aawnek?,واش بغيتي نعاونك؟,basics
B-02-31,I am,aana,انا,basics
B-02-32,You are,nta,انت,basics
B-02-33,He / She is,hoowa / heeya,هَّو / ه َّي,basics
B-02-34,We are,Hna,حنا,basics
B-02-35,They are,hooma,هومَ,basics
B-03-01,Welcome.,maRHbaa,مرحبا,greetings
B-03-02,Hello.,salaam,السلام,greetings
B-03-03,Good morning.,SbaaH lKheyR,صباح الخير,greetings
B-03-04,Good night.,tSbeH 'la KheyR,تصبح على خير,greetings
B-03-05,Good bye.,beslaama,بسلامَ,greetings
B-03-06,How are you?,keedaayeR?,كيداير؟,greetings
B-03-07,"I'm fine, thanks, and you?","beeKheyR, lHamdoolaah, wenta?",بِخير، الحمد اَّل، وانت؟,greetings
B-03-08,I'm pleased to meet you.,metshaRfeyn,متشرفين,greetings
B-03-09,Thank you for your help.,shookRan 'al lmoosaa'aada,شكراً عال المساعدة,greetings
B-03-10,My name is ___.,smeetni ___,سميتني ___,greetings
B-04-01,Do you speak English?,waash tatahDaR benegleeziya?,واش تتهضر بالانجليزية؟,"military, basics"
B-04-02,I do not speak Arabic,maatanhaDaRsh bel'aRbiya,ماتانهضرش بالعربية,"military, basics"
B-04-03,What is your name?,shnoo smeetek?,شنو سميتك؟,"military, basics"
B-04-04,When is your birthday?,shnoo taaReeKH dyaal l-izdeeyaad dyaalek?,شنو التاريخ ديال الازدياد ديالك؟,"military, basics"
B-04-05,Where were you born?,feen Khlaaqeyti?,فين خلاقيتي؟,"military, basics"
B-04-06,What is your rank / title?,shnaahiya Rutba / lwaDeefa dyaalek?,شناهي الرتبة / الوضيفة ديالك؟,"military, basics"
B-04-07,What is your nationality?,shnaahiya ljinseeya dyaalek?,شناهي الجنسية ديالك؟,"military, basics"
B-04-08,Do you have any identification papers?,waash 'andek shee biTaaqa dyaal ta'Reef?,واش عندك شي بطاقة ديال التعريف؟,"military, basics"
B-04-09,Do you have a passport?,waash 'andek lpaaspoR?,واش عندك الباسبور؟,"military, basics"
B-04-10,What is your job?,shnoo tatKhadem?,شنو تتخدم؟,"military, basics"
B-04-11,Who is in charge?,shkoon lmes-ool hnaaya?,شكون المسؤول هناي؟,"military, basics"
B-04-12,Where do you serve?,feen tatKhadem?,فين تتخدم؟,"military, basics"
B-04-13,Which group are you in?,f-ey faaReeq tatKhadem?,فأي فريق تتخدم؟,"military, basics"
B-04-14,Answer the questions,jaaweb 'al-as-eela,جاوب عْلى الاسئلة,"military, basics"
B-04-15,Where are you from?,mneen nta?,منين انت؟,"military, basics"
B-04-16,Do you understand?,waash tatfhem?,واش تتفهم؟,"military, basics"
B-04-17,I don't understand.,ma tanfhemsh,ما تنففهمش,"military, basics"
B-04-18,How much?,shHaal?,شحال؟,"military, basics"
B-04-19,How many?,shHaal?,شحال؟,"military, basics"
B-04-20,Repeat it,'aawed,عاود,"military, basics"
B-04-21,Where is ___?,feen kaayin ___?,فين كاين ___؟,"military, basics"
B-04-22,What direction?,f-ey iteejaah?,فأيّ اتجاه؟,"military, basics"
B-04-23,Is it far?,waash haad leblaaSa b'eeda?,واش هاد البلاصة بعيدة؟,"military, basics"
B-04-24,Are there armed men near here?,waash kaayin shee naas mselHeen weqRaab leena?,واش كاين شي ناس مسلحين وقراب لينا؟,"military, basics"
B-04-25,Where did they go?,feen mshaaw?,فين مشاو؟,"military, basics"
B-04-26,What weapons?,ey slaaH?,أي اسلاح؟,"military, basics"
B-04-27,Speak slowly,teqel lhaDRa dyaalek,تقل الهضرة ديالك,"military, basics"
B-04-28,Where is your unit?,feenaahoowa lfaaReeq dyaalek?,فيناهو الفريق ديالك؟,"military, basics"
B-04-29,Where did you see them?,feen shifteehum?,فين شفتيهم؟,"military, basics"
B-04-30,Where is your family?,feenaaheeya l'aa-eela dyaalek?,فينَاهي العائلة ديالك؟,
B-05-01,0    Zero,zeRo,زيرو,numbers
B-05-02,1    One,waaHed,واحد,numbers
B-05-03,2    Two,jooj,جوج,numbers
B-05-04,3    Three,tlaata,تلاتة,numbers
B-05-05,4    Four,Reb'a,اربعة,numbers
B-05-06,5    Five,Khemsa,خمسة,numbers
B-05-07,6    Six,sta,ستة,numbers
B-05-08,7    Seven,seb'a,سبعة,numbers
B-05-09,8    Eight,tmenya,تمنية,numbers
B-05-10,9    Nine,tse'ood,تسعود,numbers
B-05-11,10    Ten,'ashRa,عشرة,numbers
B-05-12,11    Eleven,Hdaash,حداش,numbers
B-05-13,12    Twelve,Tnaash,تناش,numbers
B-05-14,13    Thirteen,TelTaash,تلتاش,numbers
B-05-15,14    Fourteen,Rbe'Taash,ربعتاش,numbers
B-05-16,15    Fifteen,KhamsTaash,خمستاش,numbers
B-05-17,16    Sixteen,sTaash,ستاش,numbers
B-05-18,17    Seventeen,sbe'Taash,سبعتاش,numbers
B-05-19,18    Eighteen,tmenTaash,تمنتاش,numbers
B-05-20,19    Nineteen,tse'Taash,تسعتاش,numbers
B-05-21,20    Twenty,'eshReen,عشرين,numbers
B-05-22,30    Thirty,tlaateen,تلاتين,numbers
B-05-23,40    Forty,Reb'een,ربعين,numbers
B-05-24,50    Fifty,Khamseen,خمسين,numbers
B-05-25,60    Sixty,steen,ستين,numbers
B-05-26,70    Seventy,seb'een,سبعين,numbers
B-05-27,80    Eighty,tmaaneen,تمانين,numbers
B-05-28,90    Ninety,tse'een,تسعين,numbers
B-05-29,100    Hundred,mya,مية,numbers
B-05-30,"1,000   Thousand",aalef,آلف,numbers
B-05-31,"10,000   Ten Thousand",'ashR aalaaf,عشر آلاف,numbers
B-05-32,"100,000  Hundred Thousand",myaat aalef,ميات آلف,numbers
B-05-33,"1,000,000   Million",melyon,مليون,numbers
B-05-34,Plus,zaa-id,زائد,numbers
B-05-35,Minus,naaqiS,ناقص,numbers
