A-01-01,"We have a
malfunction.",‘indana ‘uTil,عندنا عطل,
A-01-01,"We have a
malfunction.",‘indana ‘uTil,عندنا عطل,"military, air crew"
A-01-02,We have a problem.,‘indana mushkila,عندنا مشكلة,
A-01-02,We have a problem.,‘indana mushkila,عندنا مشكلة,"military, air crew"
A-01-03,"We have an in-flight
emergency.","‘indana Haalat
Tawaaree ‘ala ar riHla","عندنا حالة طواري على
الرحلة",
A-01-03,"We have an in-flight
emergency.","‘indana Haalat
Tawaaree ‘ala ar riHla","عندنا حالة طواري على
الرحلة","military, air crew"
A-01-04,Go around.,iltaf,التف,
A-01-04,Go around.,iltaf,التف,"military, air crew"
A-01-05,Do not land!,laa tahbuT!,لا تهبط!,
A-01-05,Do not land!,laa tahbuT!,لا تهبط!,"military, air crew"
A-01-06,Unsafe (Danger),ghayr aamin,غير أمن,
A-01-06,Unsafe (Danger),ghayr aamin,غير أمن,"military, air crew"
A-01-07,Stop taxi!,tuwagaf ‘an at tadaruj!,توقف عن التدرج!,
A-01-07,Stop taxi!,tuwagaf ‘an at tadaruj!,توقف عن التدرج!,"military, air crew"
A-01-08,Cancel clearance.,ilghaa as samaaH,الغاء السماح,
A-01-08,Cancel clearance.,ilghaa as samaaH,الغاء السماح,"military, air crew"
A-01-09,Engine fire!,Hareega fee al muHarik!,حريقة في المحرك!,
A-01-09,Engine fire!,Hareega fee al muHarik!,حريقة في المحرك!,"military, air crew"
A-01-10,Aircraft fire!,"Hareega fee aT
Tayaara!",حريقة في الطيارة!,
A-01-10,Aircraft fire!,"Hareega fee aT
Tayaara!",حريقة في الطيارة!,"military, air crew"
A-01-11,Reserve airfield,iHjiz al majaal al jawee,احجز المجال الجوي,
A-01-11,Reserve airfield,iHjiz al majaal al jawee,احجز المجال الجوي,"military, air crew"
A-01-12,Landing gear problem,"mushkila fee ‘ajalaat al
hubooT",مشكلة في عجلات الهبوط,
A-01-12,Landing gear problem,"mushkila fee ‘ajalaat al
hubooT",مشكلة في عجلات الهبوط,"military, air crew"
A-02-01,Contact ___.,iteSil ___,اتصل ___,
A-02-01,Contact ___.,iteSil ___,اتصل ___,"military, air crew"
A-02-02,"Frequency ___ Point
___",taradud ___ faaSila ___,تردد ___ فاصلة ___,
A-02-02,"Frequency ___ Point
___",taradud ___ faaSila ___,تردد ___ فاصلة ___,"military, air crew"
A-02-03,"Switch to frequency
___.",Hawil ‘ala taradud ___,حوَل على تردد ___,
A-02-03,"Switch to frequency
___.",Hawil ‘ala taradud ___,حوَل على تردد ___,"military, air crew"
A-02-04,"Permit me to enter
your control zone.","ismaH lee bil
duKhool ila manTiqat
sayTarateekum","اسمح لي بالدخول الى
منطقة سيطرتكم",
A-02-04,"Permit me to enter
your control zone.","ismaH lee bil
duKhool ila manTiqat
sayTarateekum","اسمح لي بالدخول الى
منطقة سيطرتكم","military, air crew"
A-02-05,Altitude,irteefaa’,ارتفاع,
A-02-05,Altitude,irteefaa’,ارتفاع,"military, air crew"
A-02-06,Flight level,mustawaa at taHleeq,مستوى التحليق,
A-02-06,Flight level,mustawaa at taHleeq,مستوى التحليق,"military, air crew"
A-02-07,Distance,al misaafa,المسافة,
A-02-07,Distance,al misaafa,المسافة,"military, air crew"
A-02-08,A beam of ___,bath min ___,بث من ___,
A-02-08,A beam of ___,bath min ___,بث من ___,"military, air crew"
A-02-09,I passed over ___.,ijtazt fog ___,اجتزت فوق ___,
A-02-09,I passed over ___.,ijtazt fog ___,اجتزت فوق ___,"military, air crew"
A-02-10,Bearing,inHeraaf,انحراف,
A-02-10,Bearing,inHeraaf,انحراف,"military, air crew"
A-02-11,Traffic,Haraka,حركة,
A-02-11,Traffic,Haraka,حركة,"military, air crew"
A-02-12,Unidentified aircraft,Tayaara ghayr ma’roofa,طيارة غير معروفة,
A-02-12,Unidentified aircraft,Tayaara ghayr ma’roofa,طيارة غير معروفة,"military, air crew"
A-02-13,Aircraft,Tayaara,طيارة,
A-02-13,Aircraft,Tayaara,طيارة,"military, air crew"
A-02-14,Helicopter,heleekoptar,هيلوكبتر,
A-02-14,Helicopter,heleekoptar,هيلوكبتر,"military, air crew"
A-02-15,Climb to ___.,iS’ad ila ___,اصعد الى ___,
A-02-15,Climb to ___.,iS’ad ila ___,اصعد الى ___,"military, air crew"
A-02-16,Descend to ___.,inKhafiDh ila ___,انخفض الى ___,
A-02-16,Descend to ___.,inKhafiDh ila ___,انخفض الى ___,"military, air crew"
A-02-17,"Estimated time of
arrival (ETA)","waqt al wuSool at
taqreebee",وقت الوصول التقريبي,
A-02-17,"Estimated time of
arrival (ETA)","waqt al wuSool at
taqreebee",وقت الوصول التقريبي,"military, air crew"
A-02-18,Flight plan,KhiTat ar riHla,خطة الرحلة,
A-02-18,Flight plan,KhiTat ar riHla,خطة الرحلة,"military, air crew"
A-02-19,Fly heading ___.,Tir biteejaah ___,طر باتجاه ___,
A-02-19,Fly heading ___.,Tir biteejaah ___,طر باتجاه ___,"military, air crew"
A-02-20,We are bound for ___.,"Hinaa mitwajeeheen ila
___",حنا متوجهين الى ___,
A-02-20,We are bound for ___.,"Hinaa mitwajeeheen ila
___",حنا متوجهين الى ___,"military, air crew"
A-03-01,Please repeat slowly.,"law simaHt a’id maa
qilta beebuTu",لو سمحت أعد ما قلته ببطء,
A-03-01,Please repeat slowly.,"law simaHt a’id maa
qilta beebuTu",لو سمحت أعد ما قلته ببطء,"military, air crew"
A-03-02,Roger,istalamt,استلمت,
A-03-02,Roger,istalamt,استلمت,"military, air crew"
A-03-03,Over,Hawil,حول,
A-03-03,Over,Hawil,حول,"military, air crew"
A-03-04,I did not understand.,maa fihimt,ما فهمت,
A-03-04,I did not understand.,maa fihimt,ما فهمت,"military, air crew"
A-03-05,"Your transmission was
blocked.",irsaalik ta’athar,ارسالك تعثر,
A-03-05,"Your transmission was
blocked.",irsaalik ta’athar,ارسالك تعثر,"military, air crew"
A-03-06,Heavy static,tashweesh kitheer,تشويش كثير,
A-03-06,Heavy static,tashweesh kitheer,تشويش كثير,"military, air crew"
A-03-07,The signal is weak.,al-irsaal Dha’eef,الارسال ضعيف,
A-03-07,The signal is weak.,al-irsaal Dha’eef,الارسال ضعيف,"military, air crew"
A-03-08,Say again.,karir,كرر,
A-03-08,Say again.,karir,كرر,"military, air crew"
A-03-09,"This is an American
aircraft.","haaThee Tayaara
amreekeeya",هذي طيارة امريكية,
A-03-09,"This is an American
aircraft.","haaThee Tayaara
amreekeeya",هذي طيارة امريكية,"military, air crew"
