A-01-01,We have a malfunction.,‘andnaa ta-Seer bish sheghel,عندنا تقصير بالشغل,"military, air crew"
A-01-02,We have a problem.,‘andnaa meshekleh,عندنا مشكلة,"military, air crew"
A-01-03,We have an in-flight emergency.,‘andnaa reHleh jaweeyeh daaKheleeyeh Taar-a,عندنا رحلة جوية داخلية طارئة,"military, air crew"
A-01-04,Go around.,door,دور,"military, air crew"
A-01-05,Do not land.,laa tuhbuT,لا تهبط,"military, air crew"
A-01-06,Unsafe (Danger),mo aamen (KhaTer),مو امن (خطر),"military, air crew"
A-01-07,Stop taxi!,wa-f taxi!,وقف تاكسي!,"military, air crew"
A-01-08,Cancel clearance.,ilghee it taSreeH,الغي التصريح,"military, air crew"
A-01-09,Engine fire!,Haree bil muHarek!,حريق بالمحرك!,"military, air crew"
A-01-10,Aircraft fire!,Haree biT Taa-era!,حريق بالطائرة!,"military, air crew"
A-01-11,Reserve airfield,iHjooz Haqel jawee,احجوز حقل جوي,"military, air crew"
A-01-12,Landing gear problem,meshekleh benaa-el il Harakeh ‘and il hubooT,مشكلة بناقل الحركة عند الهبوط,"military, air crew"
A-02-01,Contact ___.,iteSel ___,اتصل ___,"military, air crew"
A-02-02,Frequency ___ Point ___,taradud ___ nu-Ta ___,تردد ___ نقطة ___,"military, air crew"
A-02-03,Switch to frequency ___.,Hawel le taradud ___,حوّل لتردد ___,"military, air crew"
A-02-04,Permit me to enter your control zone.,ismaH lee ino idKhul maTe-et sayTartak,اسمح لي إنه أدخل منطقة سيطرتك,"military, air crew"
A-02-05,Altitude,irtefaa’,إرتفاع,"military, air crew"
A-02-06,Flight level,mustawaa il Tayaraan,مستوى الطيران,"military, air crew"
A-02-07,Distance,masaafeh,مسافة,"military, air crew"
A-02-08,A beam of ___,shu’aa’ min ___,شعاع من ___,"military, air crew"
A-02-09,I passed over ___.,mariyt ‘ala ___,مريت على ___,"military, air crew"
A-02-10,Bearing,taHamul,تحمل,"military, air crew"
A-02-11,Traffic,muroor,مرور,"military, air crew"
A-02-12,Unidentified aircraft,Taa-era ghayr ma’roofeh,طائرة غير معروفة,"military, air crew"
A-02-13,Aircraft,Taa-era,طائرة,"military, air crew"
A-02-14,Helicopter,helokopter,هيلوكوبتر,"military, air crew"
A-02-15,Climb to ___.,iS’ad ila ___,اصعد إلى ___,"military, air crew"
A-02-16,Descend to ___.,inzel ila ___,انزل إلى ___,"military, air crew"
A-02-17,Estimated time of arrival (ETA),al waqt il muqarar lil woSool,الوقت المقرر للوصول,"military, air crew"
A-02-18,Flight plan,KheTet il reHleh,خطة الرحلة,"military, air crew"
A-02-19,Fly heading ___.,itejaah il reHleh ___,إتجاه الرحلة ___,"military, air crew"
A-02-20,We are bound for ___.,naHnaa metejheen le,نحنا متجهين لـ ___,"military, air crew"
A-03-01,Please repeat slowly.,min faDhlak ‘eed bebuTu,من فضلك عيد ببطء,"military, air crew"
A-03-02,Roger,istelem,إستلم,"military, air crew"
A-03-03,Over,Hawel,حوّل,"military, air crew"
A-03-04,I did not understand.,maa ifhemet,ما افهمت,"military, air crew"
A-03-05,Your transmission was blocked.,iteSaalak im’aTal,إتصالك معطل,"military, air crew"
A-03-06,Heavy static,tashweesh ikbeer,تشويش كبير,"military, air crew"
A-03-07,The signal is weak.,il ashaara Dha’eefeh,الإشارة ضعيفة,"military, air crew"
A-03-08,Say again.,ool mara taaneyeh,قول مرة تانية,"military, air crew"
A-03-09,This is an American aircraft.,hay Tayaara amerkeeyeh,هي طيارة أمريكية,"military, air crew"
A-03-10,"Spell it, please.","hajeehaa, min faDhalak",هجيها، من فضلك,"military, air crew"
A-03-11,Did you say ___?,ilt ___?,قلت ___؟,"military, air crew"
A-03-12,I do not speak Syrian.,anaa maa beHkee soree,أنا ما بحكي سوري,"military, air crew"
A-03-13,Does anyone there speak English?,fee Hadaa minkum be yeHkee ingleezee?,في حدا منكم بيحكي إنكليزي؟,"military, air crew"
A-03-14,Am I talking with ___ control?,‘am iHkee ma’a Hadaa ___ ‘an is sayTara?,عم إحكي مع حدا ___ عن السيطرة؟,"military, air crew"
A-03-15,Is there a better frequency to communicate?,fee waseeleh afDhal lil taradud Hataa i-der ateSel feekum?,في وسيلة أفضل للتردد حتى إقدر إتصل فيكم؟,"military, air crew"
A-03-16,I read you:,anaa isma’ak:,أنا أسمعك:,"military, air crew"
A-03-17,five-by,Khamseh bee,خمسة بـ,"military, air crew"
A-03-18,four-by,arba’a bee,أربعة بـ,"military, air crew"
A-03-19,three-by,itlaateh bee,إتلاته بـ,"military, air crew"
A-03-20,two-by,itnayn bee,إتنين بـ,"military, air crew"
A-03-21,I do not read you.,anaa maa ‘am isma’ak,أنا ما عم أسمعك,"military, air crew"
A-04-01,Runway ___ in use.,mahbaT ___ mashghool,مهبط ___ مشغول,"military, air crew"
A-04-02,Wind at ___.,ir reeyaaH fee ___,الرياح في ___,"military, air crew"
A-04-03,Altimeter,me-yaas il irtefaa’,مقياس الإرتفاع,"military, air crew"
A-04-04,Number ___ to follow.,raqam ___ letatba’,رقم ___ لتتبع,"military, air crew"
A-04-05,Report,taqreer,تقرير,"military, air crew"
A-04-06,___ miles,___ meel,___ ميل,"military, air crew"
A-04-07,___ kilometers,___ keelometer,___ كيلومتر,"military, air crew"
A-04-08,Beacon,manaara,منارة,"military, air crew"
A-04-09,Final (approach),iqteraab nehaa-ee,اقتراب نهائي,"military, air crew"
A-04-10,Base,qaa’edeh,قاعدة,"military, air crew"
A-04-11,Headwind,ir reeH il im’aakseh,الريح المعاكسة,"military, air crew"
A-04-12,Tailwind,ir reeH il Khalfeeyeh,الريح الخلفية,"military, air crew"
A-04-13,Crosswind,ir reeH il met’aamdeh,الريح المتعامدة,"military, air crew"
A-04-14,Downwind,ir reeH il sefleeyeh,الريح السفلية,"military, air crew"
A-04-15,Upwind,ir reeH il ‘elweeyeh,الريح العلوية,"military, air crew"
A-04-16,Extended (fully),mumtadeh bil kaamel,ممتدة بالكامل,"military, air crew"
A-04-17,Enter landing pattern.,idKhool maTe-et il hubooT,إدخول منطقة الهبوط,"military, air crew"
A-04-18,Cleared to land.,fuDhyet lil hubooT,فضيت للهبوط,"military, air crew"
A-04-19,Landing gear down.,jehaaz il hubooT imnazal,جهاز الهبوط إمنزل,"military, air crew"
A-04-20,Turn on runway lights.,Dhawee aDhweyet il imdaraj,ضوي إضوية المدرج,"military, air crew"
A-04-21,Is your navigation system working?,nezaam il melaaHa ‘andak shaghaal?,نظام الملاحة عندك شغال؟,"military, air crew"
A-04-22,I see the airfield.,shaayef il Haqel il jawee,شايف الحقل الجوي,"military, air crew"
A-04-23,I see the runway.,shaayet il mudaraj,شايف المدرج,"military, air crew"
A-04-24,I’ve landed.,habaTet,هبطت,"military, air crew"
A-04-25,"Is your Instrument Landing System (VOR, TACAN) working?",jehaaz il hubooT shaghaal?,جهاز الهبوط شغال؟,"military, air crew"
A-05-01,Taxiway,Taree mahbaT iT Taa-era,طريق مهبط الطائرة,"military, air crew"
A-05-02,Taxi,ista’ed lil Tayaraan,إستعد للطيران,"military, air crew"
A-05-03,Turn right,door lil yameen,دور لليمين,"military, air crew"
A-05-04,Turn left,door lish maal,دور للشمال,"military, air crew"
A-05-05,To the hardstand,ila il mudaraj il Salb,إلى المدرج الصلب,"military, air crew"
A-05-06,Follow the “follow- me” truck.,itba’ ish shaaHeneh “itba’nee”,اتبع الشاحنة “اتبعني”,"military, air crew"
A-05-07,Take runway ___.,Khod mahbaT ___,خود مهبط ___,"military, air crew"
A-05-08,Hold short of runway.,oo-af abel il mudaraj,أوقف قبل المدرج,"military, air crew"
A-05-09,"Is able, enter next taxiway.","aader, tedKhul Taree mahbaT iT Taa-era",قادر، تدخل طريق مهبط الطائرة,"military, air crew"
A-05-10,Taxi to parking.,rooH la maw-f iT Tayaaraat,روح لموقف الطيارات,"military, air crew"
A-05-11,Marshallers will assist.,il imraaf-een Haysaa’doo,المرافقين حيساعدوا,"military, air crew"
A-05-12,Taxi into position and hold.,ista’ed bemakaanak,إستعد بمكانك,"military, air crew"
A-05-13,There is an obstacle in our way.,fee ‘aa-e be Taree-naa,في عائق بطريقنا,"military, air crew"
A-05-14,Can you move that ___?,te-der itHarek hay ___?,تقدر إتحرك هي ___؟,"military, air crew"
A-05-15,car?,sayaara?,سيارة؟,"military, air crew"
A-05-16,truck?,shaaHneh?,شاحنة؟,"military, air crew"
A-05-17,airplane?,Tayaara?,طيارة؟,"military, air crew"
A-05-18,powercart?,‘arabet il iHmooleh?,عربة الحمولة؟,"military, air crew"
A-05-19,We need minimum ___.,neHtaaj ‘al aqal ___,نحتاج عالأقل ___,"military, air crew"
A-05-20,50 feet taxiway,Khamseen qadam Taree mahbaT iT Taa-era,05 قدم طريق مهبط الطائرة,"military, air crew"
A-05-21,70 feet taxiway,sab’een qadam Taree mahbaT iT Taa-era,07 قدم طريق مهبط الطائرة,"military, air crew"
A-05-22,Our wingspan is ___ meters.,eyaas janaaHnaa ___ meter,قياس جناحنا ___ متر,"military, air crew"
A-05-23,We need wingtip clearance.,neHtaaj le tefDhaayeh le mayalaan ij naaH,نحتاج لتفضاية لميلان الجناح,"military, air crew"
A-06-01,Request takeoff.,Talab mowaafaqa lil iqlaa’,طلب موافقة للإقلاع,"military, air crew"
A-06-02,Cleared for takeoff.,faDhoo lil iqlaa’,فضوا للإقلاع,"military, air crew"
A-06-03,"After departure, ___.","ba’ed il mughaadara, ___",بعد المغادرة___ ،,"military, air crew"
A-06-04,Heading,il itjaah naHwa,الاتجاه نحو,"military, air crew"
A-06-05,Flock of birds,serb min iT Teeyoor,سرب من الطيور,"military, air crew"
A-06-06,Climb and maintain.,iS’ad wo Haafez ‘ala nafes il mustawa,إصعد وحافظ على نفس المستوى,"military, air crew"
A-07-01,What is the maximum weight the parking ramp can withstand?,sho howey il wazen il a- Sar yal lee beyetHamaloo maw-f iT Taa-era?,شو هوي الوزن الأقصر يللي بيتحملوا موقف الطائرة؟,"military, air crew"
A-07-02,What is the total length of the runway?,sho howey Tool il mahbaT?,شو هوي طول المهبط؟,"military, air crew"
A-07-03,What is the width of the runway?,sho howey ‘arDh il mahbaT?,شو هوي عرض المهبط؟,"military, air crew"
A-07-04,What is the maximum weight the runway can stand?,sho howey il wazen il aqSaa yal lee beyetHamaloo il mahbaT?,شو هوي الوزن الأقصى يللي إبيتحملوا المهبط؟,"military, air crew"
A-07-05,What are the operational hours of your tower?,sho heyey saa’aat ‘amal il burj ‘andkum?,شو هي ساعات عمل البرج عندكم؟,"military, air crew"
A-07-06,What fees are we liable for?,sho heyey ir rusoom yal lee ‘aleenaa ino nedfa’haa?,شو هي الرسوم يللي علينا إنه ندفعها؟,"military, air crew"
A-07-07,How much do we owe?,ad daysh ‘aleenaa nedfa’?,قديش علينا ندفع؟,"military, air crew"
A-07-08,Dollars,dolaaraat,دولارات,"military, air crew"
A-07-09,Lira,layraa,ليرا,"military, air crew"
A-07-10,I am ___.,anaa ___,أنا ___,"military, air crew"
A-07-11,the aircraft commander,qaa-id iT Taa-era,قائد الطائرة,"military, air crew"
A-07-12,the flight engineer,muhandes Tayaraan,مهندس طيران,"military, air crew"
A-07-13,the navigator,il malaaH,الملاح,"military, air crew"
A-07-14,the copilot,musaa’d qaa-id iT Taa- era,مساعد قائد الطائرة,"military, air crew"
A-07-15,the crew chief,ra-ees Taaqem iT Taa- era,رئيس طاقم الطائرة,"military, air crew"
A-07-16,the flight surgeon,Tabeeb ir reHleh,طبيب الرحلة,"military, air crew"
A-07-17,the loadmaster,mas-ool il iHmoolaat,مسؤول الحمولات,"military, air crew"
A-07-18,the radio operator,imshaghel il laasilkee,مشغل اللاسلكي,"military, air crew"
A-07-19,This is the flight crew.,hada Taaqam iT Taa-era,هذا طاقم الطائرة,"military, air crew"
A-08-01,We need a forklift.,neHtaaj raaf’a shawkeeyeh,نحتاج رافعة شوكية,"military, air crew"
A-08-02,Where do we unload?,wayn in nazel il iHmooleh?,وين إنزل الحمولة؟,"military, air crew"
A-08-03,Pallet,manaSa,منصة,"military, air crew"
A-08-04,Cargo,iHemooleh,حمولة,"military, air crew"
A-08-05,We need a pallet loader.,neHtaaj Hamaal munaSa,نحتاج حمّال منصة,"military, air crew"
A-08-06,We need workers to assist with unloading.,neHtaaj ‘umaal laysaa’doo bit tanzeel,نحتاج عمال ليساعدوا بالتنزيل,"military, air crew"
A-08-07,We need cargo handlers.,neHtaaj Hamaaleen,نحتاج حمّالين,"military, air crew"
A-08-08,Is there a staging area for cargo?,fee manTeqa imHadada lil shaHen?,في منطقة محددة للشحن؟,"military, air crew"
A-09-01,Do you have ___?,‘andkum ___?,عندكم ___؟,"military, air crew"
A-09-02,Oil,nafuT,نفط,"military, air crew"
A-09-03,Hydraulic fluid,saa-il hedroleekee,سائل هيدروليكي,"military, air crew"
A-09-04,Hydraulic system,nezaam hedroleekee,نظام هيدروليكي,"military, air crew"
A-09-05,We need local airline maintenance support.,neHtaaj da’em le Seeyaanet Tayaraan maHalee,نحتاج دعم لصيانة طيران محلي,"military, air crew"
A-09-06,Our power requirements are ___,mutaTalabaat il oweh il kahrubaa-eeyeh heyey ___,متطلبات القوة الكهربائية هي___,"military, air crew"
A-09-07,400 cycle,arba’meet seykel,400 سيكل,"military, air crew"
A-09-08,3-phase,itree faaz,3 فاز,"military, air crew"
A-09-09,Alternating current,tayaar mutanaaweb,تيار متناوب,"military, air crew"
A-09-10,115 volt,meyeh wo Khumstashar volT,511 فولط,"military, air crew"
A-10-1,Is fuel available?,il woqood metwafer?,الوقود متوفر؟,"military, air crew"
A-10-10,Where will we be refueling?,wayn ibne-der netzawad bil woqood?,وين إنقدر نتزود بالوقود؟,"military, air crew"
A-10-11,When can we be refueled?,imta ibne-der netzawad bil woqood?,إمتى إبنقدر نتزود بالوقود؟,"military, air crew"
A-10-2,What is the fuel composition / mixture?,sho howey tarkeeb il woqood wo mukawenaat il mazeej?,شو هوي تركيب الوقود ومكونات المزيج؟,"military, air crew"
A-10-3,What is the cost?,sho heyey it takelfeh?,شو هي التكلفة؟,"military, air crew"
A-10-4,We need ___ kilos.,neHtaaj ___ keelo,نحتاج ___ كيلو,"military, air crew"
A-10-5,How much do we owe you?,ad daysh ‘aleenaa ino nedfa’elkum?,قديش علينا إنه ندفعلكم؟,"military, air crew"
A-10-6,Do you have fuel pits?,‘andkum amaaken lil tazawed bil woqood?,عندكم أماكن للتزود بالوقود؟,"military, air crew"
A-10-7,Are firefighters available during refueling?,rijaal il aTfaa mawjoodeen Khelaal it tazawed bil woqood?,رجال الأطفاء موجودين خلال التزود بالوقود؟,"military, air crew"
A-10-8,How much fuel do your trucks hold?,kam min il woqood shaaHnaatkum feehaa?,كم من الوقود شاحناتكم فيها؟,"military, air crew"
A-10-9,We need refueling.,neHtaaj it tazawed bil woqood,نحتاج التزود بالوقود,"military, air crew"
A-11-1,Weather below minimums,iT Ta-s aqal min il Had il aqSaa,الطقس أقل من الحد الأقصى,"military, air crew"
A-11-10,Wet runway,mudaraj raTeb,مدرج رطب,"military, air crew"
A-11-11,Dry runway,mudaraj jaaf,مدرج جاف,"military, air crew"
A-11-2,Cloud cover,Haalet il ghyoom,حالة الغيوم,"military, air crew"
A-11-3,Upper edge at ___.,Haafeh ‘alweeyeh ‘ala ___,حافة علوية على ___,"military, air crew"
A-11-4,Lower edge at ___.,Haafeh sefleeyeh ‘ala ___,حافلة سفلية على ___,"military, air crew"
A-11-5,Ceiling ___ meters,saquf ___ meter,سقف ___ متر,"military, air crew"
A-11-6,Visibility ___ kilometers,ir ro-yaa ___ keelometer,الرؤيا ___ كيلومتر,"military, air crew"
A-11-7,Barometric pressure ___ millibars,meqyaas iDh DhagheT il jawee ___ milibaar,مقياس الضغط الجوي ___ مليبار,"military, air crew"
A-11-8,Wind shear,ma-S ir reeH,مقص الريح,"military, air crew"
A-11-9,Severe conditions,Haalaat Sa’beh,حالات صعبة,"military, air crew"
B-01-01,Stop!,wa-f!,وقف!,military
B-01-02,Stop or I will shoot!,yaa betwa-f yaa buTlu in naar ‘aleyk!,يا بتوقف يا بطلق النار عليك!,military
B-01-03,Follow our orders.,itbaa’ aawaamernaa,اتباع اوامرنا,military
B-01-04,Don’t shoot!,laa teTle in naar!,لا تطلق النار!,military
B-01-05,Put your weapon down.,HuT islaaHak ‘al aarDh,حط سلاحك عالارض,military
B-01-06,Move.,tHarak,تحرك,military
B-01-07,Come here.,ta’aal lahon,تعال لهون,military
B-01-08,Follow me.,ilHa-nee,الحقني,military
B-01-09,Stay here.,Khaleek hon,خليك هون,military
B-01-10,Wait here.,intezer hon,انتظر هون,military
B-01-11,Do not move.,laa tetHarak,لا تتحرك,military
B-01-12,Stay where you are.,ib-aa bemakaanak,ابقى بمكانك,military
B-01-13,Come with me.,ta’aal ma’ee,تعال معي,military
B-01-14,Take me to ___.,Khednee ila ___,خدني الى ___,military
B-01-15,Be quiet.,iskoot,اسكوت,military
B-01-16,Slow down.,tamahal,تمهل,military
B-01-17,Move slowly.,tHarak be buTu,تحرك ببطء,military
B-01-18,Hands up.,irfa’oo edeykum,ارفعوا إيديكم,military
B-01-19,Lower your hands.,nazloo edeykum,نزلوا إيديكم,military
B-01-20,Lie down.,tsaTaH,تسطح,military
B-01-21,Lie on your stomach.,naam ‘ala baTnak,نام على بطنك,military
B-01-22,Get up.,inhaDh,انهض,military
B-01-23,Surrender.,istaslim,استسلم,military
B-01-24,You are a prisoner.,inte sajeen,إنت سجين,military
B-01-25,We must search you.,‘aleenaa ino infatshak,علينا إنه إنفتشك,military
B-01-26,Turn around.,door,دور,military
B-01-27,Walk forward.,imshee la eedaam,امشي لقدام,military
B-01-28,Form a line.,shakloo Saf,شكلوا صف,military
B-01-29,One at a time.,waHed waHed,واحد واحد,military
B-01-30,You are next.,inte illi ba’doh,إنت اللي بعده,military
B-01-31,No talking.,laa teHkoo,لا تحكوا,military
B-01-32,Do not resist.,laa t-aawim,لا تقاوم,military
B-01-33,Calm down.,ihdaa,اهدا,military
B-01-34,Give me,‘aTeenee,عطيني,military
B-01-35,Do not touch.,laa ted-or,لا تدقر,military
B-01-36,Do not remove.,laa ten-ol,لا تنقل,military
