A-01-01,We have a malfunction.,'ina Haaja maa tiKhdimsh,عنِا حاجة ما تِخْدِمْشِ,"military, air crew"
A-01-02,We have a problem.,'ina mushkla,عنا مشكلة,"military, air crew"
A-01-03,We have an in-flight emergency.,'ina Haala Taar-a fee ir riHla,عنا حالة طارئة في الرحلة,"military, air crew"
A-01-04,Go around.,bara a'mal doora,برّ أعمَل دُورَة,"military, air crew"
A-01-05,Do not land.,maa tahbaTsh,ما تهبطشِ,"military, air crew"
A-01-06,Unsafe (Danger),rud baalik (iKhTar),رُدْ بالِك (إخْطَرْ(,"military, air crew"
A-01-07,Stop taxi!,taksee aaqif!,تكسي آقِف!,"military, air crew"
A-01-08,Cancel clearance.,ilghee it tarKheeS,إلغي الترخيص,"military, air crew"
A-01-09,Engine fire!,il motor tiHraq!,المُتير تحرق!,"military, air crew"
A-01-10,Aircraft fire!,Hareeqa fee iT Tayaara!,حِريقَة في الطيّارة!,"military, air crew"
A-01-11,Reserve airfield,maydaan jawee iHteeyaaT,مَيْدان جوّي احتياط,"military, air crew"
A-01-12,Landing gear problem,mushkla fee mu'idaat lahbooT,مُشْكَلَة في مُعِدّات لَهْبوط,"military, air crew"
A-02-01,Contact ___.,kalam ___,كَلِّم ___,"military, air crew"
A-02-02,Frequency ___ Point ___,il mooja ___ in nuqTa ___,الموجة ___ النقطة___,"military, air crew"
A-02-03,Switch to frequency ___.,ghayir iTh ThabThiba ___,غيّر الذَبذبة___,"military, air crew"
A-02-04,Permit me to enter your control zone.,ismaHlee bash nudKhul il manTaqit il kuntrol imtaa'kum,اسمَحلي بَشْ نُدْخُلْ لمنطَقة الكُنتُرول امْتعْكُم,"military, air crew"
A-02-05,Altitude,il a'loo,العلو,"military, air crew"
A-02-06,Flight level,mustawa iT Tayaraan,مستوى الطيران,"military, air crew"
A-02-07,Distance,limsaafa,لِمْسافةَ,"military, air crew"
A-02-08,A beam of ___,shu'aa' min ___,شُعاع من ___,"military, air crew"
A-02-09,I passed over ___.,t'adeet foq ___,تعديت فوق ___,"military, air crew"
A-02-10,Bearing,nitHamal,نتحمّل,"military, air crew"
A-02-11,Traffic,Harka,حَرْكة,"military, air crew"
A-02-12,Unidentified aircraft,Tayaara majhoolat il haweeya,طيّارة مجهولة الهويِة,"military, air crew"
A-02-13,Aircraft,Tayaara,طيّارة,"military, air crew"
A-02-14,Helicopter,Tayaarat hileekoptar,طيّارة هلكوبتر,"military, air crew"
A-02-15,Climb to ___.,aTla' lee ___,أطْلَعْ لِـ ___,"military, air crew"
A-02-16,Descend to ___.,ahbaT lee ___,أهْبَطْ لِـ ___,"military, air crew"
A-02-17,Estimated time of arrival (ETA),il waqt il mutwaqa' lil woSool,الوقت المُتْوََّقعْ للوُصُول,"military, air crew"
A-02-18,Flight plan,KhuTat iT Tayaraan,خطّة الطيران,"military, air crew"
A-02-19,Fly heading ___.,iT Tayaara mitwajha ___,الطيّارة مِتْوَجْهَة ___,"military, air crew"
A-02-20,We are bound for ___.,mitwajheen lee ___,متوجْهين لِـ ___,"military, air crew"
A-03-01,Please repeat slowly.,yi'ayshik 'aawid bishwaya,يَعَيشك عاود بِشْوَيا,"military, air crew"
A-03-02,Roger,yaa raajir,يا روجر,"military, air crew"
A-03-03,Over,wintee Hawil,وِنْتِ حَوّلْ,"military, air crew"
A-03-04,I did not understand.,mafhamtish,مَفْهَمْتِش,"military, air crew"
A-03-05,Your transmission was blocked.,itransmisyo imtaa'ik maa tiKhdimsh,اتْتُرُنْسمِسْيون متَاعِك مَا تِخْدِمْشِ,"military, air crew"
A-03-06,Heavy static,His ithqeel,حِسْ اثْقِيل,"military, air crew"
A-03-07,The signal is weak.,lishaara iDh'eefa,لِشَارَة ضِعيفَة,"military, air crew"
