A-01-01,We have a malfunction.,beh ‘endana goSoor,به عندنا جصور,"military, air crew"
A-01-02,We have a problem.,beh ‘endana mashkeela,به عندنا مشكلة,"military, air crew"
A-01-03,We have an in-flight emergency.,beh ‘endana Haalat Tawaari bir-riHla,به عندنا حالة طوارئ بالرحلة,"military, air crew"
A-01-04,Go around.,lif daar maa daar,لُفْ دار مادار,"military, air crew"
A-01-05,Do not land!,maa tuhibuTsh,ما تُهبطشْ,"military, air crew"
A-01-06,Unsafe (Danger),mush aamin (KhaTar),مُش آمن (خطَر(,"military, air crew"
A-01-07,Stop taxi!,ogaf ‘an at-tadaruj!,إوجفْ عن التدرج!,"military, air crew"
A-01-08,Cancel clearance.,ilghee at-taSreeH,إلغي التصريح,"military, air crew"
A-01-09,Engine fire!,Hareeg bil-motar!,حريج بالموتر!,"military, air crew"
A-01-10,Aircraft fire!,Hareeg biT-Tayaara!,حريج بالطيارة!,"military, air crew"
A-01-11,Reserve airfield,iHjez al-majaal al-jawee,إحجزْ المجال الجوي,"military, air crew"
A-01-12,Landing gear problem,mushkeela bi-’ajalaat al-hubooT,مشكلة بعجلات الهبوط,"military, air crew"
A-02-01,Contact ___.,itaSil ___,إتصل ___,"military, air crew"
A-02-02,Frequency ___ Point ___,taradud ___ nugTa ___,تردد ___ نجطة ___,"military, air crew"
A-02-03,Switch to frequency ___.,Hawil ila taradud ___,حوّل إلى تردد ___,"military, air crew"
A-02-04,Permit me to enter your control zone.,ismaH lee bid- duKhool le-manTegat taHakumak,إسمح لي بالدخول لمنطجة تحكمك,"military, air crew"
A-02-05,Altitude,irteefaa’,إرتفاع,"military, air crew"
A-02-06,Flight level,mustawa at-taHleeg,مستوى التحليج,"military, air crew"
A-02-07,Distance,al-masaafa,المسافة,"military, air crew"
A-02-08,A beam of ___,eeshaara laa-silkeeya lee ___,إشارة لاسلكية ل ___,"military, air crew"
A-02-09,I passed over ___.,mareyt fog ___,مريت فوج ___,"military, air crew"
A-02-10,Bearing,inHeraaf,إنحراف,"military, air crew"
A-02-11,Traffic,Haraka,حركة,"military, air crew"
A-02-12,Unidentified aircraft,Tayaara maaheesh ma’aroofa,طيارة ماهيش معروفة,"military, air crew"
A-02-13,Aircraft,Tayaara,طيارة,"military, air crew"
A-02-14,Helicopter,helokabtar,هيلوكبتر,"military, air crew"
A-02-15,Climb to ___.,iS’ad laa ___,إصعدْ لا ___,"military, air crew"
A-02-16,Descend to ___.,ihibuT laa ___,إهبط لا ___,"military, air crew"
A-02-17,Estimated time of arrival (ETA),wagt al-wuSool at- tagdeeree,وجت الوصول التجديري,"military, air crew"
A-02-18,Flight plan,KhuTat ar-riHla,خطة الرحلة,"military, air crew"
A-02-19,Fly heading ___.,Teer biteejaah ___,طِير بإتجاه ___,"military, air crew"
A-02-20,We are bound for ___.,niHna mutwajiheen laa ___,نحنا متوجهين لا ___,"military, air crew"
A-10-01,Is fuel available?,hal al-wugood mutwafir?,هل الوجود متوفر؟,"military, air crew"
A-10-02,What is the fuel composition/mixture?,maa hee KhalTat al- wugood?,ما هي خلطة الوجود؟,"military, air crew"
A-10-03,What is the cost?,eysh at-taklufa?,إيش التكلفة؟,"military, air crew"
A-10-04,We need ___ kilos.,nishtee ___ keelo,نشتي ___ كيلو,"military, air crew"
A-10-05,How much do we owe you?,kam ‘aleyna?,كم علينا؟,"military, air crew"
A-10-06,Do you have fuel pits?,beh ‘andakum Hufrat tamween bil-wugood?,به عندكم حفرة تموين بالوجود؟,"military, air crew"
A-10-07,Are firefighters available during refueling?,hal reejaal al-maTaafee mutwaajideen laman nitzawad bil-wugood?,هل رجال المطافئ متواجدين لمن نتزود بالوقود؟,"military, air crew"
A-10-08,How much fuel do your trucks hold?,kam wugood taHmil shaaHentakum?,كم وجود تحمل شاحنتكم؟,"military, air crew"
A-10-09,We need refueling.,nishtee ee’aadat tazweed bil-wugood,نشتي إعادة تزويد بالوجود,"military, air crew"
A-10-10,Where will we be refueling?,ayn ‘aayakoon makaan at-tazawud bil-wugood?,أين عايكون مكان التزود بالوجود؟,"military, air crew"
A-10-11,When can we be refueled?,ayHeen nigdir nitzawad bil-wugood?,أيحين نجدر نتزود بالوجود؟,"military, air crew"
A-11-01,Weather below minimums.,aT-Tags taHt al-Had al-adna,الطجس تحت الحد الأدنى,"military, air crew"
A-11-02,Cloud cover,mughaTaa bil-ghiyoom,مغطاة بالغيوم,"military, air crew"
A-11-03,Upper edge at ___.,al-Had al-a’la ‘and ___,الحد الأعلى عند ___,"military, air crew"
A-11-04,Lower edge at ___.,al-Had al-adna ‘and ___,الحد الأدنى عند ___,"military, air crew"
A-11-05,Ceiling ___ meters.,al-Had al-agSa ___ amtaar,الحد الأجصى ___ أمتار,"military, air crew"
A-11-06,Visibility ___ kilometers.,ar-rooya ___ keelometraat,الرؤية ___ كيلومترات,"military, air crew"
A-11-07,Barometric pressure ___ millibars.,aDh-DhaghT al-jawee ___ meeleebraaraat,الضغط الجوي ___ ميليبرارات,"military, air crew"
A-11-08,Wind shear,reeyaaH ‘aaSfa,رياح عاصفة,"military, air crew"
A-11-09,Severe conditions,aHwaal jaweeya sayee-a,أحوال جوية سئية,"military, air crew"
A-11-10,Wet runway,mudaraj mablool,مدرج مبلول,"military, air crew"
A-11-11,Dry runway,mudaraj yaabis,مدرج يابس,"military, air crew"
A-03-01,Please repeat slowly.,law samaHt raji’ alee gilteh dalaa-dalaa,لوسمحت ر ِّجعْ اللي جلته دلى دلى,"military, air crew"
A-03-02,Roger,mafhoom,مفهوم,"military, air crew"
A-03-03,Over,Hawil,حـوّل,"military, air crew"
A-03-04,I did not understand.,maftahamleesh,مافتهمليش,"military, air crew"
A-03-05,Your transmission was blocked.,irsaalak ingaTa’,إرسالك إنجطع,"military, air crew"
A-03-06,Heavy static,tashweesh jawee,تشويش جوي,"military, air crew"
A-03-07,The signal is weak.,al-irsaal Dha’eef,الإرسال ضعيف,"military, air crew"
A-03-08,Say again.,raji’ thaanee,ر ِّجع ثاني,"military, air crew"
A-03-09,This is an American aircraft.,haaThee Tayaara imreekeeya,هاذي طيارة أمريكية,"military, air crew"
A-03-10,"Spell it, please.","tehajeeha, law samaHt",تهجيها، لو سمحت,"military, air crew"
A-03-11,Did you say ___?,ant gilt ___?,أنتْ جِلت ___؟,"military, air crew"
A-03-12,I do not speak Arabic.,maa bit-Haakaash ‘arabee,ما باتحاكاش عربي,"military, air crew"
A-03-13,Does anyone there speak English?,beh aHadan haanaak beyit-Haaka injileezee?,بِه أحداً هاناك بيتحاكى إنجليزي؟,"military, air crew"
A-03-14,Am I talking with ___ control?,aana beynit-Haaka ma’a ___ at-taHakum?,أنا بينتحاكى مع ___ التحكم؟,"military, air crew"
A-03-15,Is there a better frequency to communicate?,beh taradud afDhal mumkin nitwaaSal ‘aley?,به تردد أفضل ممكن نتواصل عليه؟,"military, air crew"
A-03-16,I read you:,asma’ak ‘ees:,:أسمعك عيس,"military, air crew"
A-03-17,five-by,Khamsa fee,خمسة في,"military, air crew"
A-03-18,four-by,arba’a fee,أربعة في,"military, air crew"
A-03-19,three-by,thalaatha fee,ثلاثة في,"military, air crew"
A-03-20,two-by,ithneyn fee,إثنين في,"military, air crew"
A-03-21,I do not read you.,maa-sma’aksh,ما سمعكش,"military, air crew"
A-04-01,Runway ___ in use.,mudaraj ___ mashghool,مدرج ___ مشغول,"military, air crew"
A-04-02,Wind at ___.,sur’at ar-reeH ___,سرعة الريح ___,"military, air crew"
A-04-03,Altimeter,‘adaad al-irteefaa’,عداد الإرتفاع,"military, air crew"
A-04-04,Number ___ to follow.,ragim ___ yitba’,رجم ___ يتبع,"military, air crew"
A-04-05,Report,tagreer,تجرير,"military, air crew"
A-04-06,___ miles,___ amyaal,___ أميال,"military, air crew"
A-04-07,___ kilometers,___ keelomeetraat,___ كيلو مترات,"military, air crew"
A-04-08,Beacon,manaara,منارة,"military, air crew"
A-04-09,Final (approach),nehaa-ee (igtarib),نهائي (إجترب(,"military, air crew"
