v,(In)transitive,AR,Dialect,FORM,verb form features,Frequency,IPA,Duplicate?,sense?,Notes
Admit,,اعترف,MSA,,,,[eʕtæræfæ],FALSE,,
Advise,,نَصَحَ,MSA,,,,[næsˤæħæ],FALSE,,
Agree,,اتّفق,MSA,,,,[ettæfæqæ],FALSE,,
Allow,,سَمَحَ,MSA,,,,[sæmæħæ],FALSE,,
Allow Permit,,أَذِنَ,MSA,,,,[æðenæ],FALSE,,
Answer back,,رَدَّ,MSA,,,,[ræddæ],FALSE,,
Apologize,,اعتذر,MSA,,,,[eʕtæðæræ],FALSE,,
Argue Fight,,تشاجر,MSA,,,,[tæʃadʒæræ],FALSE,,
Arrest,,قَبَضَ,MSA,,,,[qæbædˤæ],FALSE,,
Arrive,,وَصَلَ,MSA,,,,[wæsˤælæ],TRUE,,
Ask,,سَأَلَ,MSA,,,,[sæʔælæ],FALSE,,
Ask for Pray,,توسّل,MSA,,,,[tæwæssælæ],FALSE,,
Ask Request,,طَلَبَ,MSA,,,,[tˤælæbæ],FALSE,,
Attack,,هاجم,MSA,,,,[hadʒæmæ],FALSE,,
Attend,,صاحب,MSA,,,,[sˤaħæbæ],FALSE,,
Bake,,خَبَزَ,MSA,,,,[xæbæzæ],FALSE,,
Ban Forbid,,مَنَعَ,MSA,,,,[mænæʕæ],FALSE,,
Bath,,استحم,MSA,,,,[estæħæmæ],FALSE,,
Be afraid,,خاف,MSA,,,,[xafæ],FALSE,,
Be happy,,فَرِحَ,MSA,,,,[fareħæ],FALSE,,
Be present Arrive Come,,حَضَرَ,MSA,,,,[ħædˤæræ],FALSE,,
Be proude,,تفاخر,MSA,,,,[tæfaxæræ],FALSE,,
Be sorry,,تأسّف,MSA,,,,[tæʔæssæfæ],FALSE,,
Bear Carry,,حَمَلَ,MSA,,,,[ħæmælæ],FALSE,,
Beat Hit,,ضَرَبَ,MSA,,,,[dˤæræbæ],FALSE,,
Bend,,انحنى,MSA,,,,[enħæna],FALSE,,
Bind Tie,,رَبَطَ,MSA,,,,[ræbætˤæ],FALSE,,
Bite,,لَسَعَ,MSA,,,,[læsæʕæ],FALSE,,
Bleed,,نَزَفَ,MSA,,,,[næzæfæ],FALSE,,
Blow Puff,,نَفَخَ,MSA,,,,[næfæxæ],FALSE,,
Boil,,غَلَى,MSA,,,,[ɣæla],FALSE,,
Boil food,,سَلَقَ,MSA,,,,[sælæqæ],FALSE,,
Borrow,,استلف,MSA,,,,[estælæfæ],FALSE,,
Borrow Lend,,استعار,MSA,,,,[estæʕaræ],FALSE,,
Breath,,تنفّس,MSA,,,,[tænæffæsæ],FALSE,,
Bring up,,أدّب,MSA,,,,[æddæbæ],FALSE,,
Bring up Breeding,,ربّى,MSA,,,,[ræbba],FALSE,,
Broke Fracture,,كَسَرَ,MSA,,,,[kæsæræ],FALSE,,
Brush Comb,,مشّط,MSA,,,,[mæʃʃætˤæ],FALSE,,
Burn,,حَرَقَ,MSA,,,,[ħæræqæ],FALSE,,
Bury,,دَفَنَ,MSA,,,,[dæfænæ],FALSE,,
Buy,,اشترى,MSA,,,,[eʃtæra],FALSE,,
Call,,نادى,MSA,,,,[nada],FALSE,,
Call Contact,,إتـَصَلَ,MSA,,,,[etæsˤælæ],FALSE,,
Call Cry out Shout,,صَاحَ,MSA,,,,[sˤaħæ],FALSE,,
